,File Name,Asset ID,Description,Abutment Material,Bridge Type,Decking Material,Fall Height (m),Has Pedestrian Railing,Length (m),length measure by staff,Structure Material,Structure Position,Width (m)
29,AST_EX_20210823_113827.jpeg,48296,Brandywine Falls Day Use; Additional notes: ZT; Item description: ACROSS BRANDYWINE CREEK; Comments: REPLACEMENT OF OLD STRUCTURE,TBD,Beam,Timber,-1.0,TBD,15.0,True,Timber,,1.0
30,AST_EX_20210805_150953.jpeg,48340,Bridal Veil Falls Day Use,TBD,TBD,Timber,-1.0,No railings,4.0,True,Steel,,1.0
31,AST_EX_20210805_150527.jpeg,48341,Bridal Veil Falls Day Use,,,Steel,-1.0,No railings,5.0,True,Steel,,1.0
32,AST_EX_20210805_145833.jpeg,48342,Bridal Veil Falls Day Use,TBD,TBD,Timber,-1.0,No railings,2.5,True,Steel,,1.5
33,AST_EX_20210805_144402.jpeg,48343,Bridal Veil Falls Day Use,TBD,TBD,Timber,-1.0,TBD,8.0,True,Steel,,1.5
34,AST_EX_20210805_143944.jpeg,48344,"Bridal Veil Falls Day Use; Additional notes: y; Specifications: 4 FOOT BRIDGES, 2.5M X 6M ; Comments: GOOD",TBD,TBD,Timber,-1.0,TBD,5.0,True,Steel,,1.5
35,AST_EX_20210805_151203.jpeg,48345,Bridal Veil Falls Day Use,TBD,TBD,Timber,-1.0,No railings,4.0,True,TBD,,1.0
36,AST_EX_20220818_102517.jpeg,48488,Burgoyne Bay - Trails; Additional notes: Length unknown;,TBD,Beam,TBD,-1.0,TBD,0.0,False,TBD,,1.0
37,AST_EX_20210804_132904.jpeg,48488,Burgoyne Bay - Trails; Additional notes: Length unknown;,TBD,Beam,TBD,-1.0,TBD,0.0,False,TBD,,1.0
38,20241106_102137 (resized).jpg,48625,"Cape Scott Backcountry; 2x10M BRIDGES @ ERIC LAKE;  CCA TREATED LUMBER18"" LOG STRINGERSROUGH 2""X6"" CEDAR DECKING ;",TBD,Beam,TBD,-1.0,No railings,0.0,False,TBD,,1.0
39,20241106_142001.jpg,48627,"Cape Scott Backcountry; Item description: BRIDGE AT HANSON LAGOON; Specifications: CCA PRESSURE TREATED STRINGERS AND DECKING. 3-6""X12"" CCA FIR STRINGERROUGH 2""X6"" CEDAR DECKING ;",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
40,AST_EX_20210924_094144.jpeg,48627,"Cape Scott Backcountry; Item description: BRIDGE AT HANSON LAGOON; Specifications: CCA PRESSURE TREATED STRINGERS AND DECKING. 3-6""X12"" CCA FIR STRINGERROUGH 2""X6"" CEDAR DECKING ;",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
41,AST_EX_20240607_105533.jpeg,48693,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
42,AST_EX_20240607_105715.jpeg,48693,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
43,AST_EX_20240607_105725.jpeg,48693,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
44,AST_EX_20210910_124848.jpeg,48693,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
45,AST_EX_20240607_162551.jpeg,48694,Carmanah Back Country,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
46,AST_EX_20240607_162602.jpeg,48695,Carmanah Back Country; BRIDGE #3; .8 METER WIDE BRIDGE 10CM X 16CM STRINGERS 10CM X 30CM TREATED BAS,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
47,AST_EX_20240607_162852.jpeg,48696,Carmanah Back Country; Item description: BRIDGE #3; Specifications: 1.2M WIDE X 3.65 LONG. CEDAR DECKING AND STRINGERS. ; Comments: LOCATED IN VALLEY MIST TRAIL,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
48,AST_EX_20240607_162908.jpeg,48696,Carmanah Back Country; Item description: BRIDGE #3; Specifications: 1.2M WIDE X 3.65 LONG. CEDAR DECKING AND STRINGERS. ; Comments: LOCATED IN VALLEY MIST TRAIL,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
49,AST_EX_20240607_163046.jpeg,48696,Carmanah Back Country; Item description: BRIDGE #3; Specifications: 1.2M WIDE X 3.65 LONG. CEDAR DECKING AND STRINGERS. ; Comments: LOCATED IN VALLEY MIST TRAIL,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
50,AST_EX_20210910_122112.jpeg,48696,Carmanah Back Country; Item description: BRIDGE #3; Specifications: 1.2M WIDE X 3.65 LONG. CEDAR DECKING AND STRINGERS. ; Comments: LOCATED IN VALLEY MIST TRAIL,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
51,AST_EX_20240607_113554.jpeg,48697,Carmanah Back Country; Item description: BRIDGE #3; Specifications: 1.2M WIDE X 3M LONG CEDAR BRIDGE.; Comments: LOCATED IN VALLEY MIST TRAIL,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
52,AST_EX_20210910_130408.jpeg,48697,Carmanah Back Country; Item description: BRIDGE #3; Specifications: 1.2M WIDE X 3M LONG CEDAR BRIDGE.; Comments: LOCATED IN VALLEY MIST TRAIL,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
53,AST_EX_20220707_144719.jpeg,49057,Champion Lakes Backcountry; Item description: BRIDGE #3; Specifications: REPLACED 2001 LAKE INLET STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,Steel,Beam,Timber,-1.0,No railings,19.0,True,Steel,,0.75
54,AST_EX_20220707_144747.jpeg,49057,Champion Lakes Backcountry; Item description: BRIDGE #3; Specifications: REPLACED 2001 LAKE INLET STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,Steel,Beam,Timber,-1.0,No railings,19.0,True,Steel,,0.75
55,AST_EX_20220707_144812.jpeg,49057,Champion Lakes Backcountry; Item description: BRIDGE #3; Specifications: REPLACED 2001 LAKE INLET STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,Steel,Beam,Timber,-1.0,No railings,19.0,True,Steel,,0.75
56,AST_EX_20220707_111405.jpeg,49058,Champion Lakes Backcountry; Item description: BRIDGE #1; Specifications: OVER BEAVER POND & MARSH ; Comments: FAIR,Timber,Beam,Timber,-1.0,No railings,5.0,True,Timber,,0.75
57,AST_EX_20220707_111445.jpeg,49058,Champion Lakes Backcountry; Item description: BRIDGE #1; Specifications: OVER BEAVER POND & MARSH ; Comments: FAIR,Timber,Beam,Timber,-1.0,No railings,5.0,True,Timber,,0.75
58,AST_EX_20220707_111437.jpeg,49058,Champion Lakes Backcountry; Item description: BRIDGE #1; Specifications: OVER BEAVER POND & MARSH ; Comments: FAIR,Timber,Beam,Timber,-1.0,No railings,5.0,True,Timber,,0.75
59,AST_EX_20220707_123534.jpeg,49059,"Champion Lakes Backcountry; Item description: BRIDGE #4, REPLACED 2001; Specifications: REPLACED 2002 STEEL I-BEAM RECYCLED PLASTIC SILLS CEDAR DECKING; Comments: FAIR",Timber,Beam,Timber,-1.0,No railings,5.0,True,Timber,,1.0
60,AST_EX_20220707_123505.jpeg,49059,"Champion Lakes Backcountry; Item description: BRIDGE #4, REPLACED 2001; Specifications: REPLACED 2002 STEEL I-BEAM RECYCLED PLASTIC SILLS CEDAR DECKING; Comments: FAIR",Timber,Beam,Timber,-1.0,No railings,5.0,True,Timber,,1.0
61,AST_EX_20220707_124357.jpeg,49060,"Champion Lakes Backcountry; Item description: BRIDGE #2, REPLACED 2001; Specifications: RECONSTRUCTED 2002 STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS; Comments: FAIR",Timber,Beam,Timber,-1.0,No railings,23.0,True,Steel,,1.0
62,AST_EX_20220707_124315.jpeg,49060,"Champion Lakes Backcountry; Item description: BRIDGE #2, REPLACED 2001; Specifications: RECONSTRUCTED 2002 STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS; Comments: FAIR",Timber,Beam,Timber,-1.0,No railings,23.0,True,Steel,,1.0
63,AST_EX_20220707_124145.jpeg,49060,"Champion Lakes Backcountry; Item description: BRIDGE #2, REPLACED 2001; Specifications: RECONSTRUCTED 2002 STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS; Comments: FAIR",Timber,Beam,Timber,-1.0,No railings,23.0,True,Steel,,1.0
64,AST_EX_20220707_124156.jpeg,49060,"Champion Lakes Backcountry; Item description: BRIDGE #2, REPLACED 2001; Specifications: RECONSTRUCTED 2002 STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS; Comments: FAIR",Timber,Beam,Timber,-1.0,No railings,23.0,True,Steel,,1.0
65,AST_EX_20220707_125254.jpeg,49061,Champion Lakes Backcountry; Item description: REPLACED 2001; Specifications: STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,Concrete,Beam,Timber,-1.0,No railings,2.7,True,Steel,,0.75
66,AST_EX_20220707_125637.jpeg,49061,Champion Lakes Backcountry; Item description: REPLACED 2001; Specifications: STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,Concrete,Beam,Timber,-1.0,No railings,2.7,True,Steel,,0.75
67,AST_EX_20220707_102122.jpeg,49062,"Champion Lakes Backcountry; Item description: BRIDGE #5, REPLACED 2001; Specifications: RECONSTRUCTED 2002 STEEL I-BEAMS CEDAR DECKING RECYLCED PLASTIC SILLS; Comments: FAIR",Concrete,Truss,Asphalt,-1.0,No railings,2.5,True,Concrete,,2.5
68,AST_EX_20220707_102138.jpeg,49062,"Champion Lakes Backcountry; Item description: BRIDGE #5, REPLACED 2001; Specifications: RECONSTRUCTED 2002 STEEL I-BEAMS CEDAR DECKING RECYLCED PLASTIC SILLS; Comments: FAIR",Concrete,Truss,Asphalt,-1.0,No railings,2.5,True,Concrete,,2.5
69,AST_EX_20220707_102209.jpeg,49062,"Champion Lakes Backcountry; Item description: BRIDGE #5, REPLACED 2001; Specifications: RECONSTRUCTED 2002 STEEL I-BEAMS CEDAR DECKING RECYLCED PLASTIC SILLS; Comments: FAIR",Concrete,Truss,Asphalt,-1.0,No railings,2.5,True,Concrete,,2.5
70,AST_EX_20220707_155352.jpeg,49063,Champion Lakes Backcountry; Item description: REPLACED 2001 STEEL I-BEAM ; Specifications: CEDAR DECKING RECYCLED PLASTIC SILLS; Comments: GOOD,Steel,Truss,Timber,-1.0,TBD,8.0,True,Concrete,,0.75
71,AST_EX_20220707_155645.jpeg,49063,Champion Lakes Backcountry; Item description: REPLACED 2001 STEEL I-BEAM ; Specifications: CEDAR DECKING RECYCLED PLASTIC SILLS; Comments: GOOD,Steel,Truss,Timber,-1.0,TBD,8.0,True,Concrete,,0.75
72,chasmbridge.jpg,49183,"Chasm Day Use; Item description: WOOD RIDGE OVER SMALL CREEK,NO SIDES; Comments: FAIR CONDITION, ACQUISITION YEAR IS UNKNOWN",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,0.0
73,AST_EX_20211118_154122.jpeg,49183,"Chasm Day Use; Item description: WOOD RIDGE OVER SMALL CREEK,NO SIDES; Comments: FAIR CONDITION, ACQUISITION YEAR IS UNKNOWN",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,0.0
74,AST_EX_20220702_104338.jpeg,49243,Additional notes: Greendrop trail wooden bridge over seasonal creek,Timber,TBD,TBD,-1.0,No railings,2.0,True,TBD,,0.0
75,AST_EX_20250726_112652.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
76,AST_EX_20250726_112543.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
77,AST_EX_20250726_112524.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
78,AST_EX_20250726_112724.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
79,AST_EX_20250726_112708.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
80,AST_EX_20250726_112606.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
81,AST_EX_20250726_112912.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
82,AST_EX_20250726_112740.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
83,AST_EX_20220702_103814.jpeg,49244,Additional notes: Greendrop trail from Lindeman lake,TBD,Beam,Timber,-1.0,TBD,10.0,True,Timber,,0.75
84,MI_20220812_125956.jpg,49430,"Cody Caves Hiking Trail; Specifications: X2 MINOR CREEK CROSSING, ~3M AND 4M LONG BRIDGES; Comments: FAIR",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
85,AST_EX_20211010_122648.jpeg,49430,"Cody Caves Hiking Trail; Specifications: X2 MINOR CREEK CROSSING, ~3M AND 4M LONG BRIDGES; Comments: FAIR",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
86,2025 new foot bridge across outflow creek.jpg,49497,Conkle Lake Backcountry; Item description: ON LAKE TRAIL; Specifications: CROSSING CONKLE CREEKLOG STRINGERS2 X 6 DECKING C/W RAILING ; Comments: FAIR,Concrete,Beam,Timber,1.5,2 railings,10.5,True,Timber,,1.2
87,IMG_4125.JPG,49497,Conkle Lake Backcountry; Item description: ON LAKE TRAIL; Specifications: CROSSING CONKLE CREEKLOG STRINGERS2 X 6 DECKING C/W RAILING ; Comments: FAIR,Concrete,Beam,Timber,1.5,2 railings,10.5,True,Timber,,1.2
88,AST_EX_20220211_111532.jpeg,49664,66 Mile Trestle Day Use; Additional notes: Is this the actual trestle? Thought this was owned by TRAN; Item description: 66 MILE TRESTLE BRIDGE;,Steel,Truss,Steel,-1.0,TBD,100.0,True,Timber,,3.0
89,AST_EX_20220211_111547.jpeg,49664,66 Mile Trestle Day Use; Additional notes: Is this the actual trestle? Thought this was owned by TRAN; Item description: 66 MILE TRESTLE BRIDGE;,Steel,Truss,Steel,-1.0,TBD,100.0,True,Timber,,3.0
90,AST_EX_20220804_125957.jpeg,49679,HOLT CREEK LOOP,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
91,AST_EX_20220804_130456.jpeg,49680,HOLT CREEK LOOP,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
92,AST_EX_20220804_131841.jpeg,49681,HOLT CREEK LOOP,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
93,AST_EX_20220804_132339.jpeg,49682,HOLT CREEK LOOP,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
94,AST_EX_20210813_120621.jpeg,50231,"Additional notes: 2 CONC. ABUTMENTS 1M X 5M ALUMINUM SPAN,WOODEN DECK MESH & WOOD SIDE GUARDS C/W LOG CRIBBING; ALUMINUM (TOPPER FLOATS)RAMP USED FOR FOOT BRIDGE",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
95,AST_EX_20210813_120723.jpeg,50231,"Additional notes: 2 CONC. ABUTMENTS 1M X 5M ALUMINUM SPAN,WOODEN DECK MESH & WOOD SIDE GUARDS C/W LOG CRIBBING; ALUMINUM (TOPPER FLOATS)RAMP USED FOR FOOT BRIDGE",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
96,AST_EX_20210813_120732.jpeg,50231,"Additional notes: 2 CONC. ABUTMENTS 1M X 5M ALUMINUM SPAN,WOODEN DECK MESH & WOOD SIDE GUARDS C/W LOG CRIBBING; ALUMINUM (TOPPER FLOATS)RAMP USED FOR FOOT BRIDGE",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
97,AST_EX_20210820_151448.jpeg,50235,Additional notes: y;  EACH 2M X 1.5M ; THREE CONCRETE FOOT BRIDGES CROSSING CULVERTS,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
98,AST_EX_20210820_151720.jpeg,50235,Additional notes: y;  EACH 2M X 1.5M ; THREE CONCRETE FOOT BRIDGES CROSSING CULVERTS,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
99,AST_EX_20210820_151748.jpeg,50235,Additional notes: y;  EACH 2M X 1.5M ; THREE CONCRETE FOOT BRIDGES CROSSING CULVERTS,TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
100,AST_IM_20210804_113641.jpeg,50625,"Diana Lake Picnic Ground; Additional notes: Confirmed; Specifications: BRIDGE, FOOT >$5000REPLACE; Comments: DECK REPLACED 1991 COST $2000.00",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
101,AST_IM_20210804_113626.jpeg,50625,"Diana Lake Picnic Ground; Additional notes: Confirmed; Specifications: BRIDGE, FOOT >$5000REPLACE; Comments: DECK REPLACED 1991 COST $2000.00",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
102,AST_EX_20240830_162340.jpeg,50654,Dionisio Point Day Use; Additional notes: Length unknown;,Timber,Beam,Timber,-1.0,No railings,4.0,True,Timber,,1.0
103,AST_EX_20220712_124202.jpeg,50654,Dionisio Point Day Use; Additional notes: Length unknown;,Timber,Beam,Timber,-1.0,No railings,4.0,True,Timber,,1.0
104,AST_EX_20240722_165022.jpeg,50749,"FOOT BRIDGE; Specifications: 86' STEEL GIRDER BRIDGE WOODEN DECK & RAILING ON PILING 8' BELOW GRADE, GOOD",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
105,AST_EX_20240722_165125.jpeg,50749,"FOOT BRIDGE; Specifications: 86' STEEL GIRDER BRIDGE WOODEN DECK & RAILING ON PILING 8' BELOW GRADE, GOOD",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
106,AST_EX_20240722_165050.jpeg,50749,"FOOT BRIDGE; Specifications: 86' STEEL GIRDER BRIDGE WOODEN DECK & RAILING ON PILING 8' BELOW GRADE, GOOD",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
107,AST_EX_20241022_110358.jpeg,50770,Drumbeg Day Use; Additional notes: Length unknown;,Concrete,Beam,Timber,-1.0,No railings,4.0,True,Timber,,1.0
108,AST_EX_20241022_110404.jpeg,50770,Drumbeg Day Use; Additional notes: Length unknown;,Concrete,Beam,Timber,-1.0,No railings,4.0,True,Timber,,1.0
109,AST_EX_20211016_115927.jpeg,50770,Drumbeg Day Use; Additional notes: Length unknown;,Concrete,Beam,Timber,-1.0,No railings,4.0,True,Timber,,1.0
110,AST_EX_20211016_115949.jpeg,50770,Drumbeg Day Use; Additional notes: Length unknown;,Concrete,Beam,Timber,-1.0,No railings,4.0,True,Timber,,1.0
111,AST_EX_20210822_144155.jpeg,50770,Drumbeg Day Use; Additional notes: Length unknown;,Concrete,Beam,Timber,-1.0,No railings,4.0,True,Timber,,1.0
112,AST_EX_20230125_132724.jpeg,50821,"218 m plus 15 stairs; MUD LAKE BRIDGE; BOMB SQUAD BUILT ; WOOD STRINGERS, HAND RAILS, EXPANDED METAL ON BRIGE DECK",Timber,Beam,Timber,-1.0,TBD,13.0,True,Timber,,1.0
113,AST_EX_20230125_132650.jpeg,50821,"218 m plus 15 stairs; MUD LAKE BRIDGE; BOMB SQUAD BUILT ; WOOD STRINGERS, HAND RAILS, EXPANDED METAL ON BRIGE DECK",Timber,Beam,Timber,-1.0,TBD,13.0,True,Timber,,1.0
114,AST_EX_20230125_132741.jpeg,50821,"218 m plus 15 stairs; MUD LAKE BRIDGE; BOMB SQUAD BUILT ; WOOD STRINGERS, HAND RAILS, EXPANDED METAL ON BRIGE DECK",Timber,Beam,Timber,-1.0,TBD,13.0,True,Timber,,1.0
115,AST_EX_20230125_153855.jpeg,50822,5m; CABLE CROSSING BRIDGE; BOMB SQUAD BUILT,Steel,Beam,Timber,-1.0,TBD,14.0,True,Aluminum,,1.5
116,AST_EX_20230125_153836.jpeg,50822,5m; CABLE CROSSING BRIDGE; BOMB SQUAD BUILT,Steel,Beam,Timber,-1.0,TBD,14.0,True,Aluminum,,1.5
117,PXL_20250516_173001540.jpg,51216,"North End Of Canyon Nature Trail; 1 1.2M Wide X 18.3 M Long, Log Stringer And Wood Deck & Rail Footbridge Spanning Similkameen River",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
118,PXL_20250516_172430392.MP.jpg,51216,"North End Of Canyon Nature Trail; 1 1.2M Wide X 18.3 M Long, Log Stringer And Wood Deck & Rail Footbridge Spanning Similkameen River",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
119,IMG_0522.JPG,51216,"North End Of Canyon Nature Trail; 1 1.2M Wide X 18.3 M Long, Log Stringer And Wood Deck & Rail Footbridge Spanning Similkameen River",TBD,TBD,TBD,-1.0,No railings,0.0,False,TBD,,1.0
