asset_id,filename,file_id,profile_name,image_path,attr_fall_height,attr_has_pedestrian_railing,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_position,fall_height_bin,steps_bin
53110,AST_EX_20220609_114340.jpeg,45603,Stairs,data/citywide/images/356/53110/45603__AST_EX_20220609_114340.jpeg,,,Box Step,,At-Grade,,
53111,AST_EX_20220609_114149.jpeg,45616,Stairs,data/citywide/images/356/53111/45616__AST_EX_20220609_114149.jpeg,,,Timber/Wood,,At-Grade,,
53211,AST_EX_20220323_110556.jpeg,37302,Stairs,data/citywide/images/356/53211/37302__AST_EX_20220323_110556.jpeg,,1 railing,Concrete,,At-Grade,,
53212,AST_EX_20220121_144709.jpeg,35514,Stairs,data/citywide/images/356/53212/35514__AST_EX_20220121_144709.jpeg,,,Box Step,,At-Grade,,
53212,AST_EX_20220121_144646.jpeg,35516,Stairs,data/citywide/images/356/53212/35516__AST_EX_20220121_144646.jpeg,,,Box Step,,At-Grade,,
53212,AST_EX_20240730_132053.jpeg,71833,Stairs,data/citywide/images/356/53212/71833__AST_EX_20240730_132053.jpeg,,,Box Step,,At-Grade,,
53213,AST_EX_20220121_144818.jpeg,35512,Stairs,data/citywide/images/356/53213/35512__AST_EX_20220121_144818.jpeg,,1 railing,Timber/Wood,,At-Grade,,
53213,AST_EX_20240730_132151.jpeg,71804,Stairs,data/citywide/images/356/53213/71804__AST_EX_20240730_132151.jpeg,,1 railing,Timber/Wood,,At-Grade,,
53214,AST_EX_20220527_125704.jpeg,43209,Stairs,data/citywide/images/356/53214/43209__AST_EX_20220527_125704.jpeg,,,Timber/Wood,,At-Grade,,
53214,AST_EX_20220527_125526.jpeg,43212,Stairs,data/citywide/images/356/53214/43212__AST_EX_20220527_125526.jpeg,,,Timber/Wood,,At-Grade,,
53221,AST_EX_20220323_120008.jpeg,37284,Stairs,data/citywide/images/356/53221/37284__AST_EX_20220323_120008.jpeg,,,,,At-Grade,,
53221,AST_EX_20220323_120017.jpeg,37300,Stairs,data/citywide/images/356/53221/37300__AST_EX_20220323_120017.jpeg,,,,,At-Grade,,
53222,AST_EX_20220121_143710.jpeg,35518,Stairs,data/citywide/images/356/53222/35518__AST_EX_20220121_143710.jpeg,,,Concrete,,At-Grade,,
53222,AST_EX_20240730_131510.jpeg,71819,Stairs,data/citywide/images/356/53222/71819__AST_EX_20240730_131510.jpeg,,,Concrete,,At-Grade,,
53428,MI_20210622_150104.jpg,1706,Stairs,data/citywide/images/356/53428/1706__MI_20210622_150104.jpg,,,Box Step,,At-Grade,,
53688,AST_EX_20210805_122929.jpeg,10714,Stairs,data/citywide/images/356/53688/10714__AST_EX_20210805_122929.jpeg,,,Concrete,,At-Grade,,
53688,AST_EX_20211018_165939.jpeg,27672,Stairs,data/citywide/images/356/53688/27672__AST_EX_20211018_165939.jpeg,,,Concrete,,At-Grade,,
53688,AST_EX_20250107_132821.jpeg,78271,Stairs,data/citywide/images/356/53688/78271__AST_EX_20250107_132821.jpeg,,,Concrete,,At-Grade,,
53805,AST_EX_20210811_143907.jpeg,12889,Stairs,data/citywide/images/356/53805/12889__AST_EX_20210811_143907.jpeg,,,Concrete,,At-Grade,,
53805,AST_EX_20250917_140440.jpeg,88160,Stairs,data/citywide/images/356/53805/88160__AST_EX_20250917_140440.jpeg,,,Concrete,,At-Grade,,
53807,AST_EX_20210806_115724.jpeg,11709,Stairs,data/citywide/images/356/53807/11709__AST_EX_20210806_115724.jpeg,,1 railing,Concrete,,At-Grade,,
53807,AST_EX_20250811_120903.jpeg,86142,Stairs,data/citywide/images/356/53807/86142__AST_EX_20250811_120903.jpeg,,1 railing,Concrete,,At-Grade,,
53808,AST_EX_20210812_111719.jpeg,13956,Stairs,data/citywide/images/356/53808/13956__AST_EX_20210812_111719.jpeg,,,Box Step,,At-Grade,,
53808,AST_EX_20250811_140653.jpeg,86160,Stairs,data/citywide/images/356/53808/86160__AST_EX_20250811_140653.jpeg,,,Box Step,,At-Grade,,
53908,AST_EX_20241107_124421.jpeg,77176,Stairs,data/citywide/images/356/53908/77176__AST_EX_20241107_124421.jpeg,,,Concrete,,At-Grade,,
54159,AST_EX_20220528_151418.jpeg,43359,Stairs,data/citywide/images/356/54159/43359__AST_EX_20220528_151418.jpeg,,,Rock/Stone,,At-Grade,,
54159,AST_EX_20220528_151355.jpeg,43361,Stairs,data/citywide/images/356/54159/43361__AST_EX_20220528_151355.jpeg,,,Rock/Stone,,At-Grade,,
54159,AST_EX_20220528_151346.jpeg,43376,Stairs,data/citywide/images/356/54159/43376__AST_EX_20220528_151346.jpeg,,,Rock/Stone,,At-Grade,,
54208,AST_EX_20210507_100724.jpeg,104,Stairs,data/citywide/images/356/54208/104__AST_EX_20210507_100724.jpeg,,1 railing,Timber/Wood,,At-Grade,,
54335,20210529_120644.jpg,416,Stairs,data/citywide/images/356/54335/416__20210529_120644.jpg,,2 railings,Timber/Wood,,Elevated,,
54335,AST_EX_20210724_091903.jpeg,9127,Stairs,data/citywide/images/356/54335/9127__AST_EX_20210724_091903.jpeg,,2 railings,Timber/Wood,,Elevated,,
54335,AST_EX_20210724_091852.jpeg,9128,Stairs,data/citywide/images/356/54335/9128__AST_EX_20210724_091852.jpeg,,2 railings,Timber/Wood,,Elevated,,
54335,AST_EX_20210724_090941.jpeg,9129,Stairs,data/citywide/images/356/54335/9129__AST_EX_20210724_090941.jpeg,,2 railings,Timber/Wood,,Elevated,,
54337,AST_EX_20210723_133711.jpeg,7553,Stairs,data/citywide/images/356/54337/7553__AST_EX_20210723_133711.jpeg,,,Box Step,,At-Grade,,
54506,AST_EX_20220325_143205.jpeg,37591,Stairs,data/citywide/images/356/54506/37591__AST_EX_20220325_143205.jpeg,,,Rock/Stone,,At-Grade,,
55652,AST_EX_20210828_125225.jpeg,19232,Stairs,data/citywide/images/356/55652/19232__AST_EX_20210828_125225.jpeg,,2 railings,Timber/Wood,,Elevated,,
55652,AST_EX_20210828_125100.jpeg,19233,Stairs,data/citywide/images/356/55652/19233__AST_EX_20210828_125100.jpeg,,2 railings,Timber/Wood,,Elevated,,
55653,AST_EX_20220813_083509.jpeg,59162,Stairs,data/citywide/images/356/55653/59162__AST_EX_20220813_083509.jpeg,,,Box Step,,At-Grade,,
55653,AST_EX_20240817_121750.jpeg,72628,Stairs,data/citywide/images/356/55653/72628__AST_EX_20240817_121750.jpeg,,,Box Step,,At-Grade,,
55654,AST_EX_20220724_152052.jpeg,55647,Stairs,data/citywide/images/356/55654/55647__AST_EX_20220724_152052.jpeg,,1 railing,,,Other,,
55707,AST_EX_20211014_124832.jpeg,26916,Stairs,data/citywide/images/356/55707/26916__AST_EX_20211014_124832.jpeg,,2 railings,Timber/Wood,,Elevated,,
55707,AST_EX_20211014_124750.jpeg,26920,Stairs,data/citywide/images/356/55707/26920__AST_EX_20211014_124750.jpeg,,2 railings,Timber/Wood,,Elevated,,
55708,AST_EX_20211014_123431.jpeg,26930,Stairs,data/citywide/images/356/55708/26930__AST_EX_20211014_123431.jpeg,,No railings,Box Step,,At-Grade,,
55911,MI_20210618_122220.jpg,1396,Stairs,data/citywide/images/356/55911/1396__MI_20210618_122220.jpg,,No railings,Concrete,,At-Grade,,
55911,AST_EX_20241029_113430.jpeg,76534,Stairs,data/citywide/images/356/55911/76534__AST_EX_20241029_113430.jpeg,,No railings,Concrete,,At-Grade,,
55912,MI_20210618_151214.jpg,1367,Stairs,data/citywide/images/356/55912/1367__MI_20210618_151214.jpg,,1 railing,Concrete,,At-Grade,,
55912,AST_EX_20241029_115528.jpeg,76533,Stairs,data/citywide/images/356/55912/76533__AST_EX_20241029_115528.jpeg,,1 railing,Concrete,,At-Grade,,
56476,AST_EX_20210819_114746.jpeg,16398,Stairs,data/citywide/images/356/56476/16398__AST_EX_20210819_114746.jpeg,,No railings,Rock/Stone,,At-Grade,,
56476,AST_EX_20250121_120715.jpeg,78503,Stairs,data/citywide/images/356/56476/78503__AST_EX_20250121_120715.jpeg,,No railings,Rock/Stone,,At-Grade,,
56477,AST_EX_20210819_114256.jpeg,16417,Stairs,data/citywide/images/356/56477/16417__AST_EX_20210819_114256.jpeg,,No railings,Rock/Stone,,At-Grade,,
56477,AST_EX_20250121_120822.jpeg,78526,Stairs,data/citywide/images/356/56477/78526__AST_EX_20250121_120822.jpeg,,No railings,Rock/Stone,,At-Grade,,
56479,AST_EX_20210819_115352.jpeg,16404,Stairs,data/citywide/images/356/56479/16404__AST_EX_20210819_115352.jpeg,,No railings,Box Step,,At-Grade,,
56479,AST_EX_20250121_121720.jpeg,78521,Stairs,data/citywide/images/356/56479/78521__AST_EX_20250121_121720.jpeg,,No railings,Box Step,,At-Grade,,
56479,AST_EX_20250121_121653.jpeg,78522,Stairs,data/citywide/images/356/56479/78522__AST_EX_20250121_121653.jpeg,,No railings,Box Step,,At-Grade,,
56479,AST_EX_20250121_121713.jpeg,78523,Stairs,data/citywide/images/356/56479/78523__AST_EX_20250121_121713.jpeg,,No railings,Box Step,,At-Grade,,
56479,AST_EX_20250121_121706.jpeg,78525,Stairs,data/citywide/images/356/56479/78525__AST_EX_20250121_121706.jpeg,,No railings,Box Step,,At-Grade,,
56563,AST_EX_20241107_121654.jpeg,77183,Stairs,data/citywide/images/356/56563/77183__AST_EX_20241107_121654.jpeg,,1 railing,Box Step,,At-Grade,,
56563,AST_EX_20241107_121636.jpeg,77184,Stairs,data/citywide/images/356/56563/77184__AST_EX_20241107_121636.jpeg,,1 railing,Box Step,,At-Grade,,
56878,IMG_0698.JPG,21688,Stairs,data/citywide/images/356/56878/21688__IMG_0698.JPG,,No railings,Box Step,,At-Grade,,
56878,s14stairs2.jpg,76059,Stairs,data/citywide/images/356/56878/76059__s14stairs2.jpg,,No railings,Box Step,,At-Grade,,
57224,MI_20210623_120228.jpg,1828,Stairs,data/citywide/images/356/57224/1828__MI_20210623_120228.jpg,,2 railings,Box Step,,At-Grade,,
57406,AST_EX_20210820_113344.jpeg,16994,Stairs,data/citywide/images/356/57406/16994__AST_EX_20210820_113344.jpeg,,No railings,Rock/Stone,,At-Grade,,
57406,AST_EX_20250528_124253.jpeg,82823,Stairs,data/citywide/images/356/57406/82823__AST_EX_20250528_124253.jpeg,,No railings,Rock/Stone,,At-Grade,,
57611,AST_EX_20220621_122857.jpeg,47862,Stairs,data/citywide/images/356/57611/47862__AST_EX_20220621_122857.jpeg,,2 railings,Timber/Wood,,Elevated,,
57611,AST_EX_20220621_121954.jpeg,47878,Stairs,data/citywide/images/356/57611/47878__AST_EX_20220621_121954.jpeg,,2 railings,Timber/Wood,,Elevated,,
57611,AST_EX_20220621_121832.jpeg,47885,Stairs,data/citywide/images/356/57611/47885__AST_EX_20220621_121832.jpeg,,2 railings,Timber/Wood,,Elevated,,
57611,AST_EX_20240831_101820.jpeg,73033,Stairs,data/citywide/images/356/57611/73033__AST_EX_20240831_101820.jpeg,,2 railings,Timber/Wood,,Elevated,,
57612,AST_EX_20220621_103345.jpeg,47892,Stairs,data/citywide/images/356/57612/47892__AST_EX_20220621_103345.jpeg,,2 railings,Timber/Wood,,Elevated,,
57612,AST_EX_20240831_085835.jpeg,73039,Stairs,data/citywide/images/356/57612/73039__AST_EX_20240831_085835.jpeg,,2 railings,Timber/Wood,,Elevated,,
57613,AST_EX_20220621_111223.jpeg,47882,Stairs,data/citywide/images/356/57613/47882__AST_EX_20220621_111223.jpeg,,2 railings,Concrete,,At-Grade,,
57613,AST_EX_20220621_110442.jpeg,47888,Stairs,data/citywide/images/356/57613/47888__AST_EX_20220621_110442.jpeg,,2 railings,Concrete,,At-Grade,,
57614,AST_EX_20220621_115244.jpeg,47880,Stairs,data/citywide/images/356/57614/47880__AST_EX_20220621_115244.jpeg,,2 railings,Timber/Wood,,Elevated,,
57614,AST_EX_20240831_100128.jpeg,73034,Stairs,data/citywide/images/356/57614/73034__AST_EX_20240831_100128.jpeg,,2 railings,Timber/Wood,,Elevated,,
57673,4_Stairs at site 10.jpg,32620,Stairs,data/citywide/images/356/57673/32620__4_Stairs_at_site_10.jpg,,No railings,Concrete,,At-Grade,,
57674,2_Stairs to Outhouse.jpg,32616,Stairs,data/citywide/images/356/57674/32616__2_Stairs_to_Outhouse.jpg,,No railings,Timber/Wood,,At-Grade,,
