asset_id,filename,file_id,profile_name,image_path,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,attr_structure_material,attr_width,length_bin,width_bin,fall_height_bin
48934,AST_EX_20210811_144938.jpeg,15282,Boardwalk < 1.2m High,data/citywide/images/337/48934/15282__AST_EX_20210811_144938.jpeg,Timber,,No,No railings,62.0,Timber,,medium (20-100m),,
48514,lake trail boardwalk.JPG,41791,Boardwalk < 1.2m High,data/citywide/images/337/48514/41791__lake_trail_boardwalk.JPG,Timber,,No,No railings,10.668,Timber,3.0,short (<20m),wide (>1.5m),
48634,AST_EX_20211013_101620.jpeg,27385,Boardwalk < 1.2m High,data/citywide/images/337/48634/27385__AST_EX_20211013_101620.jpeg,Timber,,No,No railings,2300.0,Timber,,long (>100m),,
48934,AST_EX_20210811_144911.jpeg,15283,Boardwalk < 1.2m High,data/citywide/images/337/48934/15283__AST_EX_20210811_144911.jpeg,Timber,,No,No railings,62.0,Timber,,medium (20-100m),,
48933,AST_EX_20210811_144952.jpeg,15279,Boardwalk < 1.2m High,data/citywide/images/337/48933/15279__AST_EX_20210811_144952.jpeg,Timber,,No,No railings,104.0,Timber,,long (>100m),,
48935,AST_EX_20210811_144721.jpeg,15280,Boardwalk < 1.2m High,data/citywide/images/337/48935/15280__AST_EX_20210811_144721.jpeg,Timber,,No,No railings,42.0,Timber,,medium (20-100m),,
49689,AST_EX_20220804_124755.jpeg,57741,Boardwalk < 1.2m High,data/citywide/images/337/49689/57741__AST_EX_20220804_124755.jpeg,Timber,,No,No railings,120.0,Timber,,long (>100m),,
48936,AST_EX_20210811_144036.jpeg,15286,Boardwalk < 1.2m High,data/citywide/images/337/48936/15286__AST_EX_20210811_144036.jpeg,Timber,,No,No railings,22.0,Timber,,medium (20-100m),,
50513,AST_EX_20220511_124819.jpeg,42056,Boardwalk < 1.2m High,data/citywide/images/337/50513/42056__AST_EX_20220511_124819.jpeg,Timber,,No,No railings,3.0,Timber,,short (<20m),,
50513,AST_EX_20220511_124829.jpeg,42057,Boardwalk < 1.2m High,data/citywide/images/337/50513/42057__AST_EX_20220511_124829.jpeg,Timber,,No,No railings,3.0,Timber,,short (<20m),,
51255,MI_20240629_131154.jpg,70478,Boardwalk < 1.2m High,data/citywide/images/337/51255/70478__MI_20240629_131154.jpg,Timber,,No,No railings,30.0,Timber,,medium (20-100m),,
51254,PXL_20250516_175632212.jpg,82202,Boardwalk < 1.2m High,data/citywide/images/337/51254/82202__PXL_20250516_175632212.jpg,Timber,,No,No railings,170.0,Timber,,long (>100m),,
51256,AST_EX_20240623_084827.jpeg,69944,Boardwalk < 1.2m High,data/citywide/images/337/51256/69944__AST_EX_20240623_084827.jpeg,Timber,,No,No railings,20.0,Timber,,medium (20-100m),,
51256,AST_EX_20240622_123305.jpeg,70003,Boardwalk < 1.2m High,data/citywide/images/337/51256/70003__AST_EX_20240622_123305.jpeg,Timber,,No,No railings,20.0,Timber,,medium (20-100m),,
51256,AST_EX_20240623_084753.jpeg,69958,Boardwalk < 1.2m High,data/citywide/images/337/51256/69958__AST_EX_20240623_084753.jpeg,Timber,,No,No railings,20.0,Timber,,medium (20-100m),,
51256,AST_EX_20240622_123341.jpeg,70001,Boardwalk < 1.2m High,data/citywide/images/337/51256/70001__AST_EX_20240622_123341.jpeg,Timber,,No,No railings,20.0,Timber,,medium (20-100m),,
51256,AST_EX_20240622_123326.jpeg,70004,Boardwalk < 1.2m High,data/citywide/images/337/51256/70004__AST_EX_20240622_123326.jpeg,Timber,,No,No railings,20.0,Timber,,medium (20-100m),,
51254,IMG_4018.JPG,53518,Boardwalk < 1.2m High,data/citywide/images/337/51254/53518__IMG_4018.JPG,Timber,,No,No railings,170.0,Timber,,long (>100m),,
51440,AST_EX_20210921_134402.jpeg,22947,Boardwalk < 1.2m High,data/citywide/images/337/51440/22947__AST_EX_20210921_134402.jpeg,Timber,,No,No railings,10.0,Timber,,short (<20m),,
51547,AST_EX_20210826_112435.jpeg,18708,Boardwalk < 1.2m High,data/citywide/images/337/51547/18708__AST_EX_20210826_112435.jpeg,,,,No railings,100.0,,,long (>100m),,
51538,AST_EX_20210617_094959.jpeg,1109,Boardwalk < 1.2m High,data/citywide/images/337/51538/1109__AST_EX_20210617_094959.jpeg,Timber,,No,No railings,29.0,Timber,,medium (20-100m),,
51547,AST_EX_20210826_112407.jpeg,18709,Boardwalk < 1.2m High,data/citywide/images/337/51547/18709__AST_EX_20210826_112407.jpeg,,,,No railings,100.0,,,long (>100m),,
51547,AST_EX_20210826_112642.jpeg,18707,Boardwalk < 1.2m High,data/citywide/images/337/51547/18707__AST_EX_20210826_112642.jpeg,,,,No railings,100.0,,,long (>100m),,
51547,AST_EX_20210826_112301.jpeg,18711,Boardwalk < 1.2m High,data/citywide/images/337/51547/18711__AST_EX_20210826_112301.jpeg,,,,No railings,100.0,,,long (>100m),,
51547,AST_EX_20210826_112332.jpeg,18710,Boardwalk < 1.2m High,data/citywide/images/337/51547/18710__AST_EX_20210826_112332.jpeg,,,,No railings,100.0,,,long (>100m),,
51603,AST_EX_20210923_125920.jpeg,24212,Boardwalk < 1.2m High,data/citywide/images/337/51603/24212__AST_EX_20210923_125920.jpeg,Timber,,No,No railings,150.0,Timber,,long (>100m),,
51547,AST_EX_20210826_113015.jpeg,18706,Boardwalk < 1.2m High,data/citywide/images/337/51547/18706__AST_EX_20210826_113015.jpeg,,,,No railings,100.0,,,long (>100m),,
51602,AST_EX_20210923_131155.jpeg,24215,Boardwalk < 1.2m High,data/citywide/images/337/51602/24215__AST_EX_20210923_131155.jpeg,Timber,,No,No railings,479.0,Timber,,long (>100m),,
51603,AST_EX_20210923_125846.jpeg,24216,Boardwalk < 1.2m High,data/citywide/images/337/51603/24216__AST_EX_20210923_125846.jpeg,Timber,,No,No railings,150.0,Timber,,long (>100m),,
51603,AST_EX_20250826_101822.jpeg,87633,Boardwalk < 1.2m High,data/citywide/images/337/51603/87633__AST_EX_20250826_101822.jpeg,Timber,,No,No railings,150.0,Timber,,long (>100m),,
51603,AST_EX_20210923_130140.jpeg,24222,Boardwalk < 1.2m High,data/citywide/images/337/51603/24222__AST_EX_20210923_130140.jpeg,Timber,,No,No railings,150.0,Timber,,long (>100m),,
52128,AST_EX_20220810_113210.jpeg,59838,Boardwalk < 1.2m High,data/citywide/images/337/52128/59838__AST_EX_20220810_113210.jpeg,,,No,No railings,,,1.0,,standard (0.9-1.5m),
51942,AST_EX_20210911_124304.jpeg,21399,Boardwalk < 1.2m High,data/citywide/images/337/51942/21399__AST_EX_20210911_124304.jpeg,Timber,,No,No railings,112.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
52244,AST_EX_20220510_133402.jpeg,40594,Boardwalk < 1.2m High,data/citywide/images/337/52244/40594__AST_EX_20220510_133402.jpeg,Timber,,No,No railings,125.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
52469,AST_EX_20250914_165603.jpeg,87886,Boardwalk < 1.2m High,data/citywide/images/337/52469/87886__AST_EX_20250914_165603.jpeg,Timber,,No,No railings,4.0,Timber,,short (<20m),,
51603,AST_EX_20210923_125900.jpeg,24211,Boardwalk < 1.2m High,data/citywide/images/337/51603/24211__AST_EX_20210923_125900.jpeg,Timber,,No,No railings,150.0,Timber,,long (>100m),,
52245,AST_EX_20220510_112627.jpeg,40583,Boardwalk < 1.2m High,data/citywide/images/337/52245/40583__AST_EX_20220510_112627.jpeg,Timber,,No,No railings,15.0,Timber,2.0,short (<20m),wide (>1.5m),
53103,AST_EX_20220609_114126.jpeg,45605,Boardwalk < 1.2m High,data/citywide/images/337/53103/45605__AST_EX_20220609_114126.jpeg,Timber,,No,No railings,25.0,Timber,,medium (20-100m),,
53556,AST_EX_20221004_092847.jpeg,63735,Boardwalk < 1.2m High,data/citywide/images/337/53556/63735__AST_EX_20221004_092847.jpeg,Timber,,No,No railings,82.0,Timber,,medium (20-100m),,
52128,AST_EX_20220810_113217.jpeg,59833,Boardwalk < 1.2m High,data/citywide/images/337/52128/59833__AST_EX_20220810_113217.jpeg,,,No,No railings,,,1.0,,standard (0.9-1.5m),
53554,AST_EX_20250719_114851.jpeg,85193,Boardwalk < 1.2m High,data/citywide/images/337/53554/85193__AST_EX_20250719_114851.jpeg,,,No,No railings,5.0,,1.0,short (<20m),standard (0.9-1.5m),
53556,AST_EX_20250720_155517.jpeg,85593,Boardwalk < 1.2m High,data/citywide/images/337/53556/85593__AST_EX_20250720_155517.jpeg,Timber,,No,No railings,82.0,Timber,,medium (20-100m),,
53993,AST_EX_20220827_135801.jpeg,61546,Boardwalk < 1.2m High,data/citywide/images/337/53993/61546__AST_EX_20220827_135801.jpeg,Timber,,Yes,No railings,42.0,Timber,1.4,medium (20-100m),standard (0.9-1.5m),
53993,Inland boardwalk 2.png,84289,Boardwalk < 1.2m High,data/citywide/images/337/53993/84289__Inland_boardwalk_2.png,Timber,,Yes,No railings,42.0,Timber,1.4,medium (20-100m),standard (0.9-1.5m),
53993,Inland boardwalk 1.png,84288,Boardwalk < 1.2m High,data/citywide/images/337/53993/84288__Inland_boardwalk_1.png,Timber,,Yes,No railings,42.0,Timber,1.4,medium (20-100m),standard (0.9-1.5m),
54329,20210529_115258.jpg,397,Boardwalk < 1.2m High,data/citywide/images/337/54329/397__20210529_115258.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115456.jpg,401,Boardwalk < 1.2m High,data/citywide/images/337/54329/401__20210529_115456.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115406.jpg,398,Boardwalk < 1.2m High,data/citywide/images/337/54329/398__20210529_115406.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115700.jpg,402,Boardwalk < 1.2m High,data/citywide/images/337/54329/402__20210529_115700.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115448.jpg,400,Boardwalk < 1.2m High,data/citywide/images/337/54329/400__20210529_115448.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115518.jpg,403,Boardwalk < 1.2m High,data/citywide/images/337/54329/403__20210529_115518.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115422.jpg,399,Boardwalk < 1.2m High,data/citywide/images/337/54329/399__20210529_115422.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115543.jpg,404,Boardwalk < 1.2m High,data/citywide/images/337/54329/404__20210529_115543.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
55466,AST_EX_20220609_155542.jpeg,45641,Boardwalk < 1.2m High,data/citywide/images/337/55466/45641__AST_EX_20220609_155542.jpeg,Timber,,Yes,,334.0,Steel,3.0,long (>100m),wide (>1.5m),
54329,20210529_115621.jpg,406,Boardwalk < 1.2m High,data/citywide/images/337/54329/406__20210529_115621.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
54329,20210529_115604.jpg,405,Boardwalk < 1.2m High,data/citywide/images/337/54329/405__20210529_115604.jpg,Timber,,No,No railings,94.0,Timber,,medium (20-100m),,
55646,AST_EX_20220827_131100.jpeg,61616,Boardwalk < 1.2m High,data/citywide/images/337/55646/61616__AST_EX_20220827_131100.jpeg,Timber,,No,No railings,25.0,Timber,,medium (20-100m),,
55648,AST_EX_20220724_152740.jpeg,55644,Boardwalk < 1.2m High,data/citywide/images/337/55648/55644__AST_EX_20220724_152740.jpeg,Timber,,No,No railings,12.0,Timber,0.5,short (<20m),narrow (<0.9m),
55466,AST_EX_20220609_155504.jpeg,45668,Boardwalk < 1.2m High,data/citywide/images/337/55466/45668__AST_EX_20220609_155504.jpeg,Timber,,Yes,,334.0,Steel,3.0,long (>100m),wide (>1.5m),
55643,AST_EX_20220725_113846.jpeg,56124,Boardwalk < 1.2m High,data/citywide/images/337/55643/56124__AST_EX_20220725_113846.jpeg,Timber,,No,No railings,100.0,Timber,0.5,long (>100m),narrow (<0.9m),
55645,AST_EX_20220725_113102.jpeg,56120,Boardwalk < 1.2m High,data/citywide/images/337/55645/56120__AST_EX_20220725_113102.jpeg,Timber,,No,No railings,28.0,Timber,0.5,medium (20-100m),narrow (<0.9m),
56209,AST_EX_20250928_135750.jpeg,88832,Boardwalk < 1.2m High,data/citywide/images/337/56209/88832__AST_EX_20250928_135750.jpeg,Timber,,No,No railings,28.8,Timber,,medium (20-100m),,
56344,MI_20241027_115929.jpg,76260,Boardwalk < 1.2m High,data/citywide/images/337/56344/76260__MI_20241027_115929.jpg,Timber,,No,No railings,700.0,Timber,,long (>100m),,
56209,AST_EX_20210812_120624.jpeg,13518,Boardwalk < 1.2m High,data/citywide/images/337/56209/13518__AST_EX_20210812_120624.jpeg,Timber,,No,No railings,28.8,Timber,,medium (20-100m),,
56209,AST_EX_20210812_120655.jpeg,13517,Boardwalk < 1.2m High,data/citywide/images/337/56209/13517__AST_EX_20210812_120655.jpeg,Timber,,No,No railings,28.8,Timber,,medium (20-100m),,
56344,IMG_5702.JPG,36,Boardwalk < 1.2m High,data/citywide/images/337/56344/36__IMG_5702.JPG,Timber,,No,No railings,700.0,Timber,,long (>100m),,
56344,MI_20241027_115915.jpg,76267,Boardwalk < 1.2m High,data/citywide/images/337/56344/76267__MI_20241027_115915.jpg,Timber,,No,No railings,700.0,Timber,,long (>100m),,
56345,IMG_5633.JPG,34,Boardwalk < 1.2m High,data/citywide/images/337/56345/34__IMG_5633.JPG,Timber,,No,No railings,150.0,Timber,,long (>100m),,
56345,IMG_5635.JPG,35,Boardwalk < 1.2m High,data/citywide/images/337/56345/35__IMG_5635.JPG,Timber,,No,No railings,150.0,Timber,,long (>100m),,
56345,MI_20241027_120942.jpg,76274,Boardwalk < 1.2m High,data/citywide/images/337/56345/76274__MI_20241027_120942.jpg,Timber,,No,No railings,150.0,Timber,,long (>100m),,
56877,AST_EX_20210824_114750.jpeg,18255,Boardwalk < 1.2m High,data/citywide/images/337/56877/18255__AST_EX_20210824_114750.jpeg,Timber,,No,No railings,60.0,Timber,,medium (20-100m),,
56779,sight41.jpg,60087,Boardwalk < 1.2m High,data/citywide/images/337/56779/60087__sight41.jpg,Timber,,No,No railings,1000.0,Timber,,long (>100m),,
56778,sight1.jpg,60081,Boardwalk < 1.2m High,data/citywide/images/337/56778/60081__sight1.jpg,Timber,,No,No railings,1000.0,Timber,,long (>100m),,
56877,s3bridge3.jpg,76048,Boardwalk < 1.2m High,data/citywide/images/337/56877/76048__s3bridge3.jpg,Timber,,No,No railings,60.0,Timber,,medium (20-100m),,
56778,sight 12.jpg,60080,Boardwalk < 1.2m High,data/citywide/images/337/56778/60080__sight_12.jpg,Timber,,No,No railings,1000.0,Timber,,long (>100m),,
58173,AST_EX_20210710_161648.jpeg,4930,Boardwalk < 1.2m High,data/citywide/images/337/58173/4930__AST_EX_20210710_161648.jpeg,Timber,,No,,1800.0,Timber,1.5,long (>100m),wide (>1.5m),
58824,AST_EX_20231214_125225.jpeg,67447,Boardwalk < 1.2m High,data/citywide/images/337/58824/67447__AST_EX_20231214_125225.jpeg,Timber,,No,No railings,1800.0,Timber,,long (>100m),,
58826,AST_EX_20240801_143426.jpeg,71884,Boardwalk < 1.2m High,data/citywide/images/337/58826/71884__AST_EX_20240801_143426.jpeg,Timber,,No,No railings,1500.0,Timber,,long (>100m),,
58171,AST_EX_20210807_142618.jpeg,11918,Boardwalk < 1.2m High,data/citywide/images/337/58171/11918__AST_EX_20210807_142618.jpeg,Timber,,No,No railings,5.0,Timber,1.0,short (<20m),standard (0.9-1.5m),
58825,AST_EX_20231214_120336.jpeg,67453,Boardwalk < 1.2m High,data/citywide/images/337/58825/67453__AST_EX_20231214_120336.jpeg,Timber,,No,No railings,5000.0,Timber,,long (>100m),,
61005,AST_EX_20220901_120401.jpeg,62857,Boardwalk < 1.2m High,data/citywide/images/337/61005/62857__AST_EX_20220901_120401.jpeg,Timber,,No,No railings,150.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
59061,AST_EX_20211005_123844.jpeg,25769,Boardwalk < 1.2m High,data/citywide/images/337/59061/25769__AST_EX_20211005_123844.jpeg,Timber,,No,No railings,80.0,Timber,3.0,medium (20-100m),wide (>1.5m),
57747,AST_EX_20220808_161148.jpeg,58967,Boardwalk < 1.2m High,data/citywide/images/337/57747/58967__AST_EX_20220808_161148.jpeg,Timber,,No,No railings,1600.0,Timber,0.6,long (>100m),narrow (<0.9m),
61114,AST_EX_20220911_115844.jpeg,62963,Boardwalk < 1.2m High,data/citywide/images/337/61114/62963__AST_EX_20220911_115844.jpeg,Timber,,No,No railings,25.0,Timber,0.7,medium (20-100m),narrow (<0.9m),
61005,AST_EX_20220901_120258.jpeg,62860,Boardwalk < 1.2m High,data/citywide/images/337/61005/62860__AST_EX_20220901_120258.jpeg,Timber,,No,No railings,150.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
61005,AST_EX_20220901_120353.jpeg,62868,Boardwalk < 1.2m High,data/citywide/images/337/61005/62868__AST_EX_20220901_120353.jpeg,Timber,,No,No railings,150.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
61114,AST_EX_20220911_115854.jpeg,62969,Boardwalk < 1.2m High,data/citywide/images/337/61114/62969__AST_EX_20220911_115854.jpeg,Timber,,No,No railings,25.0,Timber,0.7,medium (20-100m),narrow (<0.9m),
61735,AST_EX_20230810_114109.jpeg,65772,Boardwalk < 1.2m High,data/citywide/images/337/61735/65772__AST_EX_20230810_114109.jpeg,Timber,,No,No railings,7.0,,1.0,short (<20m),standard (0.9-1.5m),
61736,AST_EX_20230810_114313.jpeg,65771,Boardwalk < 1.2m High,data/citywide/images/337/61736/65771__AST_EX_20230810_114313.jpeg,Timber,,No,No railings,10.0,,1.0,short (<20m),standard (0.9-1.5m),
61737,AST_EX_20230810_115108.jpeg,65770,Boardwalk < 1.2m High,data/citywide/images/337/61737/65770__AST_EX_20230810_115108.jpeg,,,No,No railings,7.0,Timber,1.0,short (<20m),standard (0.9-1.5m),
61742,AST_EX_20230810_105132.jpeg,65776,Boardwalk < 1.2m High,data/citywide/images/337/61742/65776__AST_EX_20230810_105132.jpeg,Timber,,No,No railings,5.0,Timber,1.0,short (<20m),standard (0.9-1.5m),
61734,AST_EX_20230810_113753.jpeg,65775,Boardwalk < 1.2m High,data/citywide/images/337/61734/65775__AST_EX_20230810_113753.jpeg,Timber,,No,No railings,3.0,,1.0,short (<20m),standard (0.9-1.5m),
61742,AST_EX_20230810_104803.jpeg,65777,Boardwalk < 1.2m High,data/citywide/images/337/61742/65777__AST_EX_20230810_104803.jpeg,Timber,,No,No railings,5.0,Timber,1.0,short (<20m),standard (0.9-1.5m),
62067,AST_EX_20210822_115132.jpeg,17561,Boardwalk < 1.2m High,data/citywide/images/337/62067/17561__AST_EX_20210822_115132.jpeg,Timber,,No,No railings,28.0,Timber,1.0,medium (20-100m),standard (0.9-1.5m),
61732,AST_EX_20230810_113706.jpeg,65774,Boardwalk < 1.2m High,data/citywide/images/337/61732/65774__AST_EX_20230810_113706.jpeg,Timber,,No,No railings,5.0,Timber,1.0,short (<20m),standard (0.9-1.5m),
61958,IMG_5678.JPG,14149,Boardwalk < 1.2m High,data/citywide/images/337/61958/14149__IMG_5678.JPG,Timber,,No,No railings,300.0,Timber,,long (>100m),,
62447,MI_20220920_144556.jpg,63423,Boardwalk < 1.2m High,data/citywide/images/337/62447/63423__MI_20220920_144556.jpg,Timber,,No,No railings,44.0,Timber,,medium (20-100m),,
62364,AST_EX_20250801_164153.jpeg,86095,Boardwalk < 1.2m High,data/citywide/images/337/62364/86095__AST_EX_20250801_164153.jpeg,Timber,,No,No railings,8.0,Timber,,short (<20m),,
62067,AST_EX_20210822_115054.jpeg,17562,Boardwalk < 1.2m High,data/citywide/images/337/62067/17562__AST_EX_20210822_115054.jpeg,Timber,,No,No railings,28.0,Timber,1.0,medium (20-100m),standard (0.9-1.5m),
62446,MI_20220904_171313.jpg,62770,Boardwalk < 1.2m High,data/citywide/images/337/62446/62770__MI_20220904_171313.jpg,Timber,,No,No railings,13.0,Timber,,short (<20m),,
63070,AST_EX_20220806_153833.jpeg,58624,Boardwalk < 1.2m High,data/citywide/images/337/63070/58624__AST_EX_20220806_153833.jpeg,,,No,No railings,,,,,,
62448,MI_20220920_145255.jpg,63417,Boardwalk < 1.2m High,data/citywide/images/337/62448/63417__MI_20220920_145255.jpg,Timber,,No,No railings,30.0,Timber,,medium (20-100m),,
63070,AST_EX_20250705_145951.jpeg,84415,Boardwalk < 1.2m High,data/citywide/images/337/63070/84415__AST_EX_20250705_145951.jpeg,,,No,No railings,,,,,,
63074,AST_EX_20250704_140942.jpeg,84426,Boardwalk < 1.2m High,data/citywide/images/337/63074/84426__AST_EX_20250704_140942.jpeg,,,No,No railings,,,,,,
63074,AST_EX_20220626_112902.jpeg,51010,Boardwalk < 1.2m High,data/citywide/images/337/63074/51010__AST_EX_20220626_112902.jpeg,,,No,No railings,,,,,,
64220,AST_EX_20220823_113044.jpeg,60978,Boardwalk < 1.2m High,data/citywide/images/337/64220/60978__AST_EX_20220823_113044.jpeg,Timber,,No,No railings,9.0,Timber,2.0,short (<20m),wide (>1.5m),
63220,AST_EX_20210903_120734.jpeg,19879,Boardwalk < 1.2m High,data/citywide/images/337/63220/19879__AST_EX_20210903_120734.jpeg,Timber,,No,No railings,330.0,Timber,,long (>100m),,
64207,AST_EX_20220823_105719.jpeg,60977,Boardwalk < 1.2m High,data/citywide/images/337/64207/60977__AST_EX_20220823_105719.jpeg,Timber,,No,No railings,25.0,Timber,1.0,medium (20-100m),standard (0.9-1.5m),
63220,AST_EX_20240725_101213.jpeg,71288,Boardwalk < 1.2m High,data/citywide/images/337/63220/71288__AST_EX_20240725_101213.jpeg,Timber,,No,No railings,330.0,Timber,,long (>100m),,
64237,AST_EX_20220823_110105.jpeg,60973,Boardwalk < 1.2m High,data/citywide/images/337/64237/60973__AST_EX_20220823_110105.jpeg,Timber,,No,No railings,4.0,Timber,,short (<20m),,
64261,AST_EX_20220823_110543.jpeg,60975,Boardwalk < 1.2m High,data/citywide/images/337/64261/60975__AST_EX_20220823_110543.jpeg,Timber,,No,No railings,3.0,Timber,,short (<20m),,
64235,AST_EX_20220823_105548.jpeg,60969,Boardwalk < 1.2m High,data/citywide/images/337/64235/60969__AST_EX_20220823_105548.jpeg,Timber,,No,No railings,4.0,Timber,,short (<20m),,
64272,AST_EX_20220823_105926.jpeg,60968,Boardwalk < 1.2m High,data/citywide/images/337/64272/60968__AST_EX_20220823_105926.jpeg,Timber,,No,No railings,7.0,Timber,1.0,short (<20m),standard (0.9-1.5m),
64274,AST_EX_20220823_110154.jpeg,60972,Boardwalk < 1.2m High,data/citywide/images/337/64274/60972__AST_EX_20220823_110154.jpeg,Timber,,No,No railings,2.0,Timber,,short (<20m),,
64273,AST_EX_20220823_111353.jpeg,60967,Boardwalk < 1.2m High,data/citywide/images/337/64273/60967__AST_EX_20220823_111353.jpeg,Timber,,No,No railings,2.0,Timber,,short (<20m),,
64260,AST_EX_20220823_110253.jpeg,60971,Boardwalk < 1.2m High,data/citywide/images/337/64260/60971__AST_EX_20220823_110253.jpeg,Timber,,No,No railings,3.0,Timber,,short (<20m),,
64236,AST_EX_20220823_111504.jpeg,60970,Boardwalk < 1.2m High,data/citywide/images/337/64236/60970__AST_EX_20220823_111504.jpeg,Timber,,No,No railings,4.0,Timber,,short (<20m),,
64887,AST_EX_20210727_153925.jpeg,10094,Boardwalk < 1.2m High,data/citywide/images/337/64887/10094__AST_EX_20210727_153925.jpeg,Timber,,No,No railings,110.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
64887,AST_EX_20210727_153914.jpeg,10095,Boardwalk < 1.2m High,data/citywide/images/337/64887/10095__AST_EX_20210727_153914.jpeg,Timber,,No,No railings,110.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
64887,AST_EX_20220525_163009.jpeg,43281,Boardwalk < 1.2m High,data/citywide/images/337/64887/43281__AST_EX_20220525_163009.jpeg,Timber,,No,No railings,110.0,Timber,1.0,long (>100m),standard (0.9-1.5m),
64888,AST_EX_20210727_142226.jpeg,10120,Boardwalk < 1.2m High,data/citywide/images/337/64888/10120__AST_EX_20210727_142226.jpeg,Timber,,No,No railings,10.0,Timber,,short (<20m),,
64888,AST_EX_20210727_142215.jpeg,10121,Boardwalk < 1.2m High,data/citywide/images/337/64888/10121__AST_EX_20210727_142215.jpeg,Timber,,No,No railings,10.0,Timber,,short (<20m),,
