,File Name,Asset ID,Category,Segment,Name,Description,Attachments,Adjusted Quantity,Unit of Measure,In-Service Date,All Notes,Length (m),length measure by staff,Width (m),Fall Height (m),Height (m),Number of Steps,Structure Position,"Material (Frame, Tank, Body)",Surface Material,Decking Material,Structure Material,Abutment Material,Has Pedestrian Railing,Has Edge Guard,Bridge Type
10,AST_EX_20210725_102345.jpeg,46615,Structures,Boardwalk < 1.2m High,Boardwalk,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,2,"2,600",Length (m),1/1/2014,Asset within 66.24917228582 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0,2600.0,True,0.0,-1.0,1.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
11,AST_EX_20210725_102426.jpeg,46615,Structures,Boardwalk < 1.2m High,Boardwalk,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,2,"2,600",Length (m),1/1/2014,Asset within 66.24917228582 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0,2600.0,True,0.0,-1.0,1.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
12,IMG_20251209_093240914_HDR.jpg,46616,Structures,Stairs,Stairs,Ancient Forest Day Use; Cedar; wood staircase,4,577,Length (m),1/1/2014,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position, Asset within 155.175410528204 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",577.0,False,,-1.0,0.0,-1.0,Elevated,Timber/Wood,,,,,1 railing,,
13,IMG_20251209_093249968.jpg,46616,Structures,Stairs,Stairs,Ancient Forest Day Use; Cedar; wood staircase,4,577,Length (m),1/1/2014,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position, Asset within 155.175410528204 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",577.0,False,,-1.0,0.0,-1.0,Elevated,Timber/Wood,,,,,1 railing,,
14,AST_EX_20210725_104937.jpeg,46616,Structures,Stairs,Stairs,Ancient Forest Day Use; Cedar; wood staircase,4,577,Length (m),1/1/2014,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position, Asset within 155.175410528204 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",577.0,False,,-1.0,0.0,-1.0,Elevated,Timber/Wood,,,,,1 railing,,
15,AST_EX_20210725_105017.jpeg,46616,Structures,Stairs,Stairs,Ancient Forest Day Use; Cedar; wood staircase,4,577,Length (m),1/1/2014,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position, Asset within 155.175410528204 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",577.0,False,,-1.0,0.0,-1.0,Elevated,Timber/Wood,,,,,1 railing,,
16,AST_EX_20210725_111619.jpeg,46617,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,3,15,Area (m2),1/1/2018,"Copilot estimated area, Asset within 207.77381047283 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",10.0,False,1.5,-1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
17,AST_EX_20210725_111635.jpeg,46617,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,3,15,Area (m2),1/1/2018,"Copilot estimated area, Asset within 207.77381047283 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",10.0,False,1.5,-1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
18,AST_EX_20210725_111644.jpeg,46617,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,3,15,Area (m2),1/1/2018,"Copilot estimated area, Asset within 207.77381047283 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",10.0,False,1.5,-1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
19,AST_EX_20210725_112313.jpeg,46618,Structures,Viewing Platform,Viewing Platform | Initial Quantity Area needs to be calculated,Ancient Forest Day Use,3,1,Area (m2),1/1/2016,"Copilot estimated area, Asset within 139.507477110316 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",0.0,False,0.0,-1.0,0.0,,Elevated,Timber/Wood,,Timber,TBD,,No railings,No,
20,AST_EX_20210725_112318.jpeg,46618,Structures,Viewing Platform,Viewing Platform | Initial Quantity Area needs to be calculated,Ancient Forest Day Use,3,1,Area (m2),1/1/2016,"Copilot estimated area, Asset within 139.507477110316 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",0.0,False,0.0,-1.0,0.0,,Elevated,Timber/Wood,,Timber,TBD,,No railings,No,
21,AST_EX_20210725_112331.jpeg,46618,Structures,Viewing Platform,Viewing Platform | Initial Quantity Area needs to be calculated,Ancient Forest Day Use,3,1,Area (m2),1/1/2016,"Copilot estimated area, Asset within 139.507477110316 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",0.0,False,0.0,-1.0,0.0,,Elevated,Timber/Wood,,Timber,TBD,,No railings,No,
22,IMG_20251209_095236782.jpg,46619,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,5,16,Area (m2),1/1/2016,"Viewing platform structure is of unknown age and is placed precariously on stumps to act as footings, Copilot estimated area, Asset within 36.3172439646772 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",4.0,False,4.0,1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
23,IMG_20251209_095207690.jpg,46619,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,5,16,Area (m2),1/1/2016,"Viewing platform structure is of unknown age and is placed precariously on stumps to act as footings, Copilot estimated area, Asset within 36.3172439646772 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",4.0,False,4.0,1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
24,IMG_20251209_095230538_HDR.jpg,46619,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,5,16,Area (m2),1/1/2016,"Viewing platform structure is of unknown age and is placed precariously on stumps to act as footings, Copilot estimated area, Asset within 36.3172439646772 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",4.0,False,4.0,1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
25,AST_EX_20210725_110933.jpeg,46619,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,5,16,Area (m2),1/1/2016,"Viewing platform structure is of unknown age and is placed precariously on stumps to act as footings, Copilot estimated area, Asset within 36.3172439646772 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",4.0,False,4.0,1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
26,AST_EX_20210725_110941.jpeg,46619,Structures,Viewing Platform,Viewing Platform,Ancient Forest Day Use,5,16,Area (m2),1/1/2016,"Viewing platform structure is of unknown age and is placed precariously on stumps to act as footings, Copilot estimated area, Asset within 36.3172439646772 meters of a forest service road/id 40749/FOREST_FILE_ID R08317/MAP_LABEL R08317 16A0",4.0,False,4.0,1.0,0.0,,Elevated,Timber/Wood,,Timber,Timber,,TBD,Yes,
27,AST_EX_20220804_114009.jpeg,46730,Structures,Viewing Platform,Viewing Platform | Initial Quantity Area needs to be calculated,Nisga'A Mem. Vetter Falls D.U.,1,1,Area (m2),1/1/2002,Copilot estimated area,0.0,False,0.0,-1.0,0.0,,Elevated,TBD,,TBD,TBD,,1 railing,No,
28,IMG_3657.JPG,46922,Bridges,Trail Bridge,Danny Moore Bridge,Bridge over Danny Moore Creek. Wood decking on steel I beams.,1,10,Length (m),9/1/2013,,10.0,True,2.0,-1.0,2.0,,,Steel,Wood or Timber,Timber,Steel,TBD,No railings,Yes,Beam
29,DSC00003.JPG,46924,Bridges,Trail Bridge,Trail Bridge near trailhead,"36"" X 6"" STRINGERS 6' X 2"" X 6"" DECKING PRESSURE TREATED ;",1,3,Length (m),1/1/2007,,2.0,True,1.0,-1.0,1.0,,,Timber/Wood,TBD,Timber,Timber,TBD,No railings,No,Beam
30,Bridge.JPG,46925,Bridges,Trail Bridge,Trail Bridge- 18' approx,"10""X10""X22' wood stringers 2"" X 6"" X 3' wood decking",1,8,Length (m),1/1/2007,"Replaced decking, added flashing and nailer plate 2025.",8.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,Timber,Timber,TBD,No railings,No,Beam
31,IMG_8936.JPG,46926,Bridges,Trail Bridge,Trail Bridge,"STRINGERS 10""X10""X18FT DECKINGROUGH CUT 2X6 3FEET WIDE ;",1,6,Length (m),1/1/2007,,6.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,Timber,Timber,TBD,No railings,No,Beam
32,IMG_9002.JPG,46929,Bridges,Trail Bridge,Trail Bridge,Log bridge,1,5,Length (m),1/1/2010,,5.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,TBD,Timber,TBD,No railings,No,Beam
33,asst 043.jpg,46931,Bridges,Trail Bridge,Upper Higgins Creek bridge,Log bridge in Higgins Basin,1,8,Length (m),1/1/2003,Needs removal.,8.0,True,1.0,-1.0,2.0,,,Timber/Wood,Wood or Timber,Timber,Timber,TBD,TBD,No,Beam
34,Water tap foot bridge behind the cabin.JPG,46932,Bridges,Trail Bridge,Foot bridge behind cabin with hose,Water hose bridge. 3'x12' ft,1,7,Length (m),8/1/2015,,5.0,True,1.0,-1.0,1.0,,,Timber/Wood,Wood or Timber,Timber,Timber,TBD,No railings,No,Beam
35,IMG_2182.JPG,46933,Structures,Boardwalk < 1.2m High,Lower Boardwalk by trailhead,"2""x8""x8' decking on 6""x6"" sills, # sills & # sections?",1,150,Length (m),1/1/2003,Actually three separate sections. Measure and photograph.,150.0,True,0.5,-1.0,0.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
36,IMG_1070.JPG,46935,Structures,Boardwalk < 1.2m High,Boardwalk at 5km,8' wide wood decked boardwalk with log stringers,1,15,Length (m),1/1/2000,Add nails,15.0,True,3.0,-1.0,0.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
37,AST_EX_20241022_111626.jpeg,47049,Structures,Stairs,Stairs,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",2,40,Length (m),1/1/1960,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",40.0,False,,-1.0,0.0,-1.0,At-Grade,Rock/Stone,,,,,1 railing,,
38,AST_EX_20220601_110955.jpeg,47049,Structures,Stairs,Stairs,"Bamberton Day Use; STAIRS:(TWO-WAY,UP&DOWN ON SERVICE RD.TO BEACH); 40 RISER MORTARED ROCK SLATE STAIRS C/W ALUMINUM HANDRAIL. ; ..../ POSE RISK MANAGEMENT ISSUE.; stone",2,40,Length (m),1/1/1960,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",40.0,False,,-1.0,0.0,-1.0,At-Grade,Rock/Stone,,,,,1 railing,,
39,AST_EX_20241022_112733.jpeg,47050,Structures,Stairs,Stairs,"Bamberton Day Use; STAIRS:(AT BOTTOM OF PATH @ PARKIN-LOT PICNIC AREA; 16 RISER IN TOTAL ON TWO-WAY STAIRS,UP &DOWN, MORTARED ROCK SLATE. ; concrete",1,16,Length (m),1/1/1960,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",16.0,False,,-1.0,0.0,-1.0,At-Grade,Concrete,,,,,No railings,,
40,AST_EX_20240725_124259.jpeg,47051,Structures,Stairs,Stairs,Bamberton Campground; (TO C/S # 19); 14 RISER CONC. STAIRS DOWN TO C/S #19.; concrete,2,14,Length (m),1/1/1973,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",14.0,False,,-1.0,0.0,-1.0,At-Grade,Concrete,,,,,1 railing,,
41,AST_EX_20220601_103717.jpeg,47051,Structures,Stairs,Stairs,Bamberton Campground; (TO C/S # 19); 14 RISER CONC. STAIRS DOWN TO C/S #19.; concrete,2,14,Length (m),1/1/1973,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",14.0,False,,-1.0,0.0,-1.0,At-Grade,Concrete,,,,,1 railing,,
42,AST_EX_20241022_114314.jpeg,47052,Structures,Stairs,Stairs,Bamberton Campground; (DOWN TO C/S #17); 12 RISER CONC. STAIRS. ; concrete,2,12,Length (m),1/1/1973,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",12.0,False,,-1.0,0.0,-1.0,At-Grade,Concrete,,,,,No railings,,
43,AST_EX_20220601_103822.jpeg,47052,Structures,Stairs,Stairs,Bamberton Campground; (DOWN TO C/S #17); 12 RISER CONC. STAIRS. ; concrete,2,12,Length (m),1/1/1973,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",12.0,False,,-1.0,0.0,-1.0,At-Grade,Concrete,,,,,No railings,,
44,AST_EX_20240725_113728.jpeg,47053,Structures,Stairs,Stairs,Bamberton Campground; (C/S 9); concrete,2,8,Length (m),1/1/1994,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",8.0,False,,-1.0,0.0,-1.0,At-Grade,Concrete,,,,,No railings,,
45,MI_20220601_102208.jpg,47053,Structures,Stairs,Stairs,Bamberton Campground; (C/S 9); concrete,2,8,Length (m),1/1/1994,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",8.0,False,,-1.0,0.0,-1.0,At-Grade,Concrete,,,,,No railings,,
46,AST_EX_20240725_135329.jpeg,47054,Structures,Stairs,Stairs,Bamberton Campground; (C/S 41); boxsteps,2,3,Length (m),1/1/2006,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",3.0,False,,-1.0,0.0,-1.0,At-Grade,Box Step,,,,,No railings,,
47,AST_EX_20220601_104524.jpeg,47054,Structures,Stairs,Stairs,Bamberton Campground; (C/S 41); boxsteps,2,3,Length (m),1/1/2006,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",3.0,False,,-1.0,0.0,-1.0,At-Grade,Box Step,,,,,No railings,,
48,AST_EX_20241022_112031.jpeg,47055,Structures,Viewing Platform,Viewing Platform | Initial Quantity Area needs to be calculated,Bamberton Day Use; Item description: VIEWING AREA: (FRONT OF TOILET/CHANGE BLDG.); Specifications: 370 SQ. METER TERRACED PAVED AND ROCK WALLED VIEWING AREA. ; Comments: POOR..../RISK MANAGEMENT CONCERN.,1,1,Area (m2),1/1/1958,,0.0,False,0.0,-1.0,0.0,,At-Grade,TBD,,TBD,TBD,,No railings,No,
49,IMG_8322.JPG,47182,Bridges,Trail Bridge,Trail Bridge,First Footbridge Across Creek Was Replaced In 1996. 48 Feet Long $20000.,1,14,Length (m),1/1/1996,,0.0,False,1.0,-1.0,0.0,,,TBD,TBD,TBD,TBD,TBD,No railings,No,TBD
50,IMG_8323.JPG,47184,Structures,Stairs,Stairs,"Steps And Railings Ancored With Concrete; Steps 4X 12"" Pt Railing 2X 6"" Pt Wood Posts 4X 6"" Pt ; 220 Feet Of Stairs With 9 Flat Landings; wood staircase",1,400,Length (m),1/1/1991,"Copilot updated Length, Number of Steps, Pedestrian Railing, Material, Structure Position",400.0,False,,-1.0,0.0,-1.0,Elevated,Timber/Wood,,,,,1 railing,,
51,AST_EX_20240615_152418.jpeg,47299,Bridges,Trail Bridge,Trail Bridge,Beatton Day Use,2,6,Length (m),1/1/1980,,4.0,True,1.0,-1.0,0.0,,,Timber/Wood,TBD,Timber,Timber,TBD,TBD,No,TBD
52,AST_EX_20210804_153822.jpeg,47299,Bridges,Trail Bridge,Trail Bridge,Beatton Day Use,2,6,Length (m),1/1/1980,,4.0,True,1.0,-1.0,0.0,,,Timber/Wood,TBD,Timber,Timber,TBD,TBD,No,TBD
53,AST_EX_20220705_141353.jpeg,47389,Bridges,Trail Bridge,Trail Bridge,Beaumont Service Area,1,3,Length (m),1/1/1980,,0.0,False,1.0,-1.0,0.0,,,TBD,TBD,TBD,TBD,TBD,No railings,No,TBD
54,AST_EX_20241109_124957.jpeg,47532,Bridges,Trail Bridge,Trail Bridge,Elevated footbridge over North end of Otter Marsh wetland area.,2,16.8,Length (m),1/1/1996,"Big Bar Lake Day Use; Item description: FOOT BRIDGE NEAR D.U. DAM; Specifications: 4' X 55'PRESSURE TREATED WOOD WITH HANDRAILS. ; Comments: ELEVATED OVER WET AREA AT North end OF MARSH., Big Bar Lake Day Use; Item description: FOOT BRIDGE NEAR D.U. DAM; Specifications: 4' X 55'PRESSURE TREATED WOOD WITH HANDRAILS. ; Comments: ELEVATED OVER WET AREA AT SOUTH SIDE OF MARSH.",0.0,False,1.5,-1.0,0.0,,,,,Timber,Timber,Concrete,TBD,No,Beam
55,Otter Marsh North.JPG,47532,Bridges,Trail Bridge,Trail Bridge,Elevated footbridge over North end of Otter Marsh wetland area.,2,16.8,Length (m),1/1/1996,"Big Bar Lake Day Use; Item description: FOOT BRIDGE NEAR D.U. DAM; Specifications: 4' X 55'PRESSURE TREATED WOOD WITH HANDRAILS. ; Comments: ELEVATED OVER WET AREA AT North end OF MARSH., Big Bar Lake Day Use; Item description: FOOT BRIDGE NEAR D.U. DAM; Specifications: 4' X 55'PRESSURE TREATED WOOD WITH HANDRAILS. ; Comments: ELEVATED OVER WET AREA AT SOUTH SIDE OF MARSH.",0.0,False,1.5,-1.0,0.0,,,,,Timber,Timber,Concrete,TBD,No,Beam
56,AST_EX_20241109_131920.jpeg,47533,Bridges,Trail Bridge,Trail Bridge,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,2,20,Length (m),1/1/1995,"Bridge is located over the outflow creek from the Otter Marsh  at the North end of Big Bar Lake., Big Bar Lake Day Use; Item description: FOOT BRIDGE ACROSS LAKE OUTFLOW CREEK; Specifications: 4' X 20'PRESSURE TRATED WOOD WITH HANDRAILS ; Comments: LOCATED AT WEST END OF LAKE ON OTTER MARSH TRAIL.",0.0,False,1.5,-1.0,0.0,,,,,Timber,Timber,Concrete,TBD,Yes,Beam
57,Otter Marsh South.JPG,47533,Bridges,Trail Bridge,Trail Bridge,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,2,20,Length (m),1/1/1995,"Bridge is located over the outflow creek from the Otter Marsh  at the North end of Big Bar Lake., Big Bar Lake Day Use; Item description: FOOT BRIDGE ACROSS LAKE OUTFLOW CREEK; Specifications: 4' X 20'PRESSURE TRATED WOOD WITH HANDRAILS ; Comments: LOCATED AT WEST END OF LAKE ON OTTER MARSH TRAIL.",0.0,False,1.5,-1.0,0.0,,,,,Timber,Timber,Concrete,TBD,Yes,Beam
58,AST_EX_20220619_104322.jpeg,47633,Bridges,Trail Bridge,Trail Bridge - Foot Bridge - Wilderness Lake Trail,Birkenhead Lake Park - Foot Bridge - Wilderness Lake Trail,1,20,Length (m),6/1/2015,,20.0,True,1.5,-1.0,1.0,,,Timber/Wood,TBD,Timber,Timber,Timber,No railings,No,Beam
59,AST_EX_20220618_165426.jpeg,47636,Bridges,Trail Bridge,Trail Bridge - Lake Trail - Bridge on Corner (Wood Stained),"LAKE TRAIL, BRIDGE ON CORNER; Specifications: WOOD CONSTRUCTION STAINED ; Comments: GOOD",1,3,Length (m),6/1/2020,,0.0,False,1.0,-1.0,1.0,,,Timber/Wood,TBD,Timber,Timber,Timber,No railings,No,Beam
60,AST_EX_20251010_120124.jpeg,47637,Bridges,Trail Bridge,Trail Bridge - Phelix Creek - Goat Lookout Trail,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",2,10,Length (m),1/1/2020,,10.0,True,1.0,-1.0,0.0,,,Timber/Wood,TBD,Timber,Timber,TBD,TBD,No,Beam
61,AST_EX_20251010_120542.jpeg,47637,Bridges,Trail Bridge,Trail Bridge - Phelix Creek - Goat Lookout Trail,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",2,10,Length (m),1/1/2020,,10.0,True,1.0,-1.0,0.0,,,Timber/Wood,TBD,Timber,Timber,TBD,TBD,No,Beam
62,AST_EX_20250803_080930.jpeg,47664,Structures,Boardwalk < 1.2m High,Boardwalk,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,3,200,Length (m),1/1/1995,,200.0,True,0.0,-1.0,1.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
63,AST_EX_20250803_081016.jpeg,47664,Structures,Boardwalk < 1.2m High,Boardwalk,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,3,200,Length (m),1/1/1995,,200.0,True,0.0,-1.0,1.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
64,AST_EX_20250803_081025.jpeg,47664,Structures,Boardwalk < 1.2m High,Boardwalk,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,3,200,Length (m),1/1/1995,,200.0,True,0.0,-1.0,1.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
65,AST_EX_20240913_124155.jpeg,48111,Bridges,Trail Bridge,Trail Bridge,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,2,8,Length (m),1/1/2016,,0.0,False,1.5,-1.0,1.5,,,,,Timber,Timber,Timber,TBD,No,Truss
66,MI_20210810_083230.jpg,48111,Bridges,Trail Bridge,Trail Bridge,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,2,8,Length (m),1/1/2016,,0.0,False,1.5,-1.0,1.5,,,,,Timber,Timber,Timber,TBD,No,Truss
67,AST_EX_20240913_141001.jpeg,48112,Bridges,Trail Bridge,Trail Bridge,"WOOD CONSTRUCTION, OLD BRIDGE STRUCTURE REMOVED AND NEW UNIT BUILT IN 1995 RR&A PROJECT",1,6,Length (m),1/1/1995,"WOOD CONSTRUCTION, OLD BRIDGE STRUCTURE REMOVED AND NEW UNIT BUILT IN 1995 RR&A PROJECT",0.0,False,1.5,-1.0,2.0,,,,,Timber,Timber,Timber,TBD,No,Truss
68,AST_EX_20250818_114301.jpeg,48117,Structures,Boardwalk < 1.2m High,Boardwalk,Item description: PRESSURE TREATED WOOD UNIT; Specifications: 100 FT3 FT WIDE ; Comments: ELEVATED WALKWAY TO THE PIT TOILET,1,35,Length (m),1/1/1997,,120.0,True,1.0,-1.0,1.0,,,Timber/Wood,,Timber,Timber,,No railings,No,
