asset_id,filename,file_id,profile_name,image_path,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_pedestrian_railing,attr_length,attr_structure_material,attr_width,length_bin,width_bin,fall_height_bin
49057,AST_EX_20220707_144812.jpeg,52758,Trail Bridge,data/citywide/images/253/49057/52758__AST_EX_20220707_144812.jpeg,Steel,Beam,Timber,,No railings,19.0,Steel,0.75,medium (6-20m),narrow (<0.9m),
49057,AST_EX_20220707_144747.jpeg,52759,Trail Bridge,data/citywide/images/253/49057/52759__AST_EX_20220707_144747.jpeg,Steel,Beam,Timber,,No railings,19.0,Steel,0.75,medium (6-20m),narrow (<0.9m),
49057,AST_EX_20220707_144719.jpeg,52773,Trail Bridge,data/citywide/images/253/49057/52773__AST_EX_20220707_144719.jpeg,Steel,Beam,Timber,,No railings,19.0,Steel,0.75,medium (6-20m),narrow (<0.9m),
49058,AST_EX_20220707_111437.jpeg,52800,Trail Bridge,data/citywide/images/253/49058/52800__AST_EX_20220707_111437.jpeg,Timber,Beam,Timber,,No railings,5.0,Timber,0.75,short (<6m),narrow (<0.9m),
49058,AST_EX_20220707_111445.jpeg,52815,Trail Bridge,data/citywide/images/253/49058/52815__AST_EX_20220707_111445.jpeg,Timber,Beam,Timber,,No railings,5.0,Timber,0.75,short (<6m),narrow (<0.9m),
49058,AST_EX_20220707_111405.jpeg,52816,Trail Bridge,data/citywide/images/253/49058/52816__AST_EX_20220707_111405.jpeg,Timber,Beam,Timber,,No railings,5.0,Timber,0.75,short (<6m),narrow (<0.9m),
49059,AST_EX_20220707_123505.jpeg,52810,Trail Bridge,data/citywide/images/253/49059/52810__AST_EX_20220707_123505.jpeg,Timber,Beam,Timber,,No railings,5.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
49059,AST_EX_20220707_123534.jpeg,52826,Trail Bridge,data/citywide/images/253/49059/52826__AST_EX_20220707_123534.jpeg,Timber,Beam,Timber,,No railings,5.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
49060,AST_EX_20220707_124156.jpeg,52793,Trail Bridge,data/citywide/images/253/49060/52793__AST_EX_20220707_124156.jpeg,Timber,Beam,Timber,,No railings,23.0,Steel,1.0,long (>20m),standard (0.9-1.5m),
49060,AST_EX_20220707_124145.jpeg,52796,Trail Bridge,data/citywide/images/253/49060/52796__AST_EX_20220707_124145.jpeg,Timber,Beam,Timber,,No railings,23.0,Steel,1.0,long (>20m),standard (0.9-1.5m),
49060,AST_EX_20220707_124315.jpeg,52797,Trail Bridge,data/citywide/images/253/49060/52797__AST_EX_20220707_124315.jpeg,Timber,Beam,Timber,,No railings,23.0,Steel,1.0,long (>20m),standard (0.9-1.5m),
49060,AST_EX_20220707_124357.jpeg,52813,Trail Bridge,data/citywide/images/253/49060/52813__AST_EX_20220707_124357.jpeg,Timber,Beam,Timber,,No railings,23.0,Steel,1.0,long (>20m),standard (0.9-1.5m),
49061,AST_EX_20220707_125637.jpeg,52807,Trail Bridge,data/citywide/images/253/49061/52807__AST_EX_20220707_125637.jpeg,Concrete,Beam,Timber,,No railings,2.7,Steel,0.75,short (<6m),narrow (<0.9m),
49061,AST_EX_20220707_125254.jpeg,52809,Trail Bridge,data/citywide/images/253/49061/52809__AST_EX_20220707_125254.jpeg,Concrete,Beam,Timber,,No railings,2.7,Steel,0.75,short (<6m),narrow (<0.9m),
49062,AST_EX_20220707_102209.jpeg,52782,Trail Bridge,data/citywide/images/253/49062/52782__AST_EX_20220707_102209.jpeg,Concrete,Truss,Asphalt,,No railings,2.5,Concrete,2.5,short (<6m),wide (>1.5m),
49062,AST_EX_20220707_102138.jpeg,52802,Trail Bridge,data/citywide/images/253/49062/52802__AST_EX_20220707_102138.jpeg,Concrete,Truss,Asphalt,,No railings,2.5,Concrete,2.5,short (<6m),wide (>1.5m),
49062,AST_EX_20220707_102122.jpeg,52829,Trail Bridge,data/citywide/images/253/49062/52829__AST_EX_20220707_102122.jpeg,Concrete,Truss,Asphalt,,No railings,2.5,Concrete,2.5,short (<6m),wide (>1.5m),
49063,AST_EX_20220707_155645.jpeg,52756,Trail Bridge,data/citywide/images/253/49063/52756__AST_EX_20220707_155645.jpeg,Steel,Truss,Timber,,,8.0,Concrete,0.75,medium (6-20m),narrow (<0.9m),
49183,AST_EX_20211118_154122.jpeg,32632,Trail Bridge,data/citywide/images/253/49183/32632__AST_EX_20211118_154122.jpeg,,,,,No railings,,,,,,
49063,AST_EX_20220707_155352.jpeg,52764,Trail Bridge,data/citywide/images/253/49063/52764__AST_EX_20220707_155352.jpeg,Steel,Truss,Timber,,,8.0,Concrete,0.75,medium (6-20m),narrow (<0.9m),
49243,AST_EX_20220702_104338.jpeg,51320,Trail Bridge,data/citywide/images/253/49243/51320__AST_EX_20220702_104338.jpeg,Timber,,,,No railings,2.0,,,short (<6m),,
49244,AST_EX_20220702_103814.jpeg,51322,Trail Bridge,data/citywide/images/253/49244/51322__AST_EX_20220702_103814.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49244,AST_EX_20250726_112740.jpeg,85435,Trail Bridge,data/citywide/images/253/49244/85435__AST_EX_20250726_112740.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49183,chasmbridge.jpg,77017,Trail Bridge,data/citywide/images/253/49183/77017__chasmbridge.jpg,,,,,No railings,,,,,,
49244,AST_EX_20250726_112912.jpeg,85436,Trail Bridge,data/citywide/images/253/49244/85436__AST_EX_20250726_112912.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49244,AST_EX_20250726_112724.jpeg,85441,Trail Bridge,data/citywide/images/253/49244/85441__AST_EX_20250726_112724.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49244,AST_EX_20250726_112708.jpeg,85442,Trail Bridge,data/citywide/images/253/49244/85442__AST_EX_20250726_112708.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49244,AST_EX_20250726_112524.jpeg,85446,Trail Bridge,data/citywide/images/253/49244/85446__AST_EX_20250726_112524.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49244,AST_EX_20250726_112543.jpeg,85447,Trail Bridge,data/citywide/images/253/49244/85447__AST_EX_20250726_112543.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49244,AST_EX_20250726_112606.jpeg,85438,Trail Bridge,data/citywide/images/253/49244/85438__AST_EX_20250726_112606.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49430,AST_EX_20211010_122648.jpeg,26265,Trail Bridge,data/citywide/images/253/49430/26265__AST_EX_20211010_122648.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
49244,AST_EX_20250726_112652.jpeg,85451,Trail Bridge,data/citywide/images/253/49244/85451__AST_EX_20250726_112652.jpeg,,Beam,Timber,,,10.0,Timber,0.75,medium (6-20m),narrow (<0.9m),
49497,IMG_4125.JPG,18671,Trail Bridge,data/citywide/images/253/49497/18671__IMG_4125.JPG,Concrete,Beam,Timber,1.5,2 railings,10.5,Timber,1.2,medium (6-20m),standard (0.9-1.5m),medium (1-5m)
49430,MI_20220812_125956.jpg,59102,Trail Bridge,data/citywide/images/253/49430/59102__MI_20220812_125956.jpg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
49497,2025 new foot bridge across outflow creek.jpg,90612,Trail Bridge,data/citywide/images/253/49497/90612__2025_new_foot_bridge_across_outflow_creek.jpg,Concrete,Beam,Timber,1.5,2 railings,10.5,Timber,1.2,medium (6-20m),standard (0.9-1.5m),medium (1-5m)
49664,AST_EX_20220211_111532.jpeg,35820,Trail Bridge,data/citywide/images/253/49664/35820__AST_EX_20220211_111532.jpeg,Steel,Truss,Steel,,,100.0,Timber,3.0,long (>20m),wide (>1.5m),
49679,AST_EX_20220804_125957.jpeg,57744,Trail Bridge,data/citywide/images/253/49679/57744__AST_EX_20220804_125957.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
49664,AST_EX_20220211_111547.jpeg,35818,Trail Bridge,data/citywide/images/253/49664/35818__AST_EX_20220211_111547.jpeg,Steel,Truss,Steel,,,100.0,Timber,3.0,long (>20m),wide (>1.5m),
49681,AST_EX_20220804_131841.jpeg,57752,Trail Bridge,data/citywide/images/253/49681/57752__AST_EX_20220804_131841.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
49682,AST_EX_20220804_132339.jpeg,57751,Trail Bridge,data/citywide/images/253/49682/57751__AST_EX_20220804_132339.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
49680,AST_EX_20220804_130456.jpeg,57747,Trail Bridge,data/citywide/images/253/49680/57747__AST_EX_20220804_130456.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50231,AST_EX_20210813_120723.jpeg,14209,Trail Bridge,data/citywide/images/253/50231/14209__AST_EX_20210813_120723.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50231,AST_EX_20210813_120732.jpeg,14208,Trail Bridge,data/citywide/images/253/50231/14208__AST_EX_20210813_120732.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50235,AST_EX_20210820_151748.jpeg,17155,Trail Bridge,data/citywide/images/253/50235/17155__AST_EX_20210820_151748.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50235,AST_EX_20210820_151720.jpeg,17156,Trail Bridge,data/citywide/images/253/50235/17156__AST_EX_20210820_151720.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50231,AST_EX_20210813_120621.jpeg,14210,Trail Bridge,data/citywide/images/253/50231/14210__AST_EX_20210813_120621.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50235,AST_EX_20210820_151448.jpeg,17157,Trail Bridge,data/citywide/images/253/50235/17157__AST_EX_20210820_151448.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50625,AST_IM_20210804_113626.jpeg,12265,Trail Bridge,data/citywide/images/253/50625/12265__AST_IM_20210804_113626.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50625,AST_IM_20210804_113641.jpeg,12264,Trail Bridge,data/citywide/images/253/50625/12264__AST_IM_20210804_113641.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50654,AST_EX_20240830_162340.jpeg,73031,Trail Bridge,data/citywide/images/253/50654/73031__AST_EX_20240830_162340.jpeg,Timber,Beam,Timber,,No railings,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
50654,AST_EX_20220712_124202.jpeg,53275,Trail Bridge,data/citywide/images/253/50654/53275__AST_EX_20220712_124202.jpeg,Timber,Beam,Timber,,No railings,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
50749,AST_EX_20240722_165125.jpeg,71152,Trail Bridge,data/citywide/images/253/50749/71152__AST_EX_20240722_165125.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50749,AST_EX_20240722_165050.jpeg,71137,Trail Bridge,data/citywide/images/253/50749/71137__AST_EX_20240722_165050.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50770,AST_EX_20210822_144155.jpeg,17555,Trail Bridge,data/citywide/images/253/50770/17555__AST_EX_20210822_144155.jpeg,Concrete,Beam,Timber,,No railings,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
50749,AST_EX_20240722_165022.jpeg,71153,Trail Bridge,data/citywide/images/253/50749/71153__AST_EX_20240722_165022.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
50770,AST_EX_20211016_115949.jpeg,27481,Trail Bridge,data/citywide/images/253/50770/27481__AST_EX_20211016_115949.jpeg,Concrete,Beam,Timber,,No railings,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
50770,AST_EX_20241022_110404.jpeg,75427,Trail Bridge,data/citywide/images/253/50770/75427__AST_EX_20241022_110404.jpeg,Concrete,Beam,Timber,,No railings,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
50770,AST_EX_20211016_115927.jpeg,27484,Trail Bridge,data/citywide/images/253/50770/27484__AST_EX_20211016_115927.jpeg,Concrete,Beam,Timber,,No railings,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
50821,AST_EX_20230125_132741.jpeg,64545,Trail Bridge,data/citywide/images/253/50821/64545__AST_EX_20230125_132741.jpeg,Timber,Beam,Timber,,,13.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
50770,AST_EX_20241022_110358.jpeg,75428,Trail Bridge,data/citywide/images/253/50770/75428__AST_EX_20241022_110358.jpeg,Concrete,Beam,Timber,,No railings,4.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
50821,AST_EX_20230125_132650.jpeg,64546,Trail Bridge,data/citywide/images/253/50821/64546__AST_EX_20230125_132650.jpeg,Timber,Beam,Timber,,,13.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
50822,AST_EX_20230125_153836.jpeg,64550,Trail Bridge,data/citywide/images/253/50822/64550__AST_EX_20230125_153836.jpeg,Steel,Beam,Timber,,,14.0,Aluminum,1.5,medium (6-20m),wide (>1.5m),
50822,AST_EX_20230125_153855.jpeg,64554,Trail Bridge,data/citywide/images/253/50822/64554__AST_EX_20230125_153855.jpeg,Steel,Beam,Timber,,,14.0,Aluminum,1.5,medium (6-20m),wide (>1.5m),
50821,AST_EX_20230125_132724.jpeg,64551,Trail Bridge,data/citywide/images/253/50821/64551__AST_EX_20230125_132724.jpeg,Timber,Beam,Timber,,,13.0,Timber,1.0,medium (6-20m),standard (0.9-1.5m),
51216,IMG_0522.JPG,53526,Trail Bridge,data/citywide/images/253/51216/53526__IMG_0522.JPG,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51216,PXL_20250516_172430392.MP.jpg,82197,Trail Bridge,data/citywide/images/253/51216/82197__PXL_20250516_172430392.MP.jpg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51216,PXL_20250516_173001540.jpg,82198,Trail Bridge,data/citywide/images/253/51216/82198__PXL_20250516_173001540.jpg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51214,IMG_9105.JPG,52701,Trail Bridge,data/citywide/images/253/51214/52701__IMG_9105.JPG,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51220,IMG_9096.JPG,52699,Trail Bridge,data/citywide/images/253/51220/52699__IMG_9096.JPG,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51233,IMG_9616.JPG,50016,Trail Bridge,data/citywide/images/253/51233/50016__IMG_9616.JPG,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51234,AST_EX_20240605_101523.jpeg,69177,Trail Bridge,data/citywide/images/253/51234/69177__AST_EX_20240605_101523.jpeg,,,Timber,,No railings,5.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
51234,AST_EX_20240605_101512.jpeg,69178,Trail Bridge,data/citywide/images/253/51234/69178__AST_EX_20240605_101512.jpeg,,,Timber,,No railings,5.0,Timber,1.0,short (<6m),standard (0.9-1.5m),
51218,IMG_5946.JPG,52718,Trail Bridge,data/citywide/images/253/51218/52718__IMG_5946.JPG,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51244,IMG_0520.JPG,53525,Trail Bridge,data/citywide/images/253/51244/53525__IMG_0520.JPG,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51244,PXL_20250516_172847032.jpg,82200,Trail Bridge,data/citywide/images/253/51244/82200__PXL_20250516_172847032.jpg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51244,PXL_20250516_172858758.jpg,82201,Trail Bridge,data/citywide/images/253/51244/82201__PXL_20250516_172858758.jpg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51248,AST_EX_20240628_104432.jpeg,70123,Trail Bridge,data/citywide/images/253/51248/70123__AST_EX_20240628_104432.jpeg,,,,,No railings,,,1.0,,standard (0.9-1.5m),
51524,AST_EX_20210820_142024.jpeg,16914,Trail Bridge,data/citywide/images/253/51524/16914__AST_EX_20210820_142024.jpeg,Concrete,Beam,Steel,,,49.5,Steel,1.4,long (>20m),standard (0.9-1.5m),
