,File Name,Asset ID,Description,Abutment Material,Fall Height (m),Has Pedestrian Railing,"Material (Frame, Tank, Body)",Number of Steps,Structure Material,Width (m)
30,AST_EX_20241210_121518.jpeg,49702,Horseshoe Bend Groupsite; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
31,AST_EX_20241210_121425.jpeg,49702,Horseshoe Bend Groupsite; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
32,AST_EX_20220302_111020.jpeg,49702,Horseshoe Bend Groupsite; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
33,AST_EX_20220216_112215.jpeg,49702,Horseshoe Bend Groupsite; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
34,AST_EX_20220210_114107.jpeg,49703,Stoltz Pool Day Use; WOOD AND GRAVEL; ladder,,-1.0,No railings,TBD,-1.0,,
35,AST_EX_20220210_114140.jpeg,49703,Stoltz Pool Day Use; WOOD AND GRAVEL; ladder,,-1.0,No railings,TBD,-1.0,,
36,AST_EX_20210809_143406.jpeg,49704,66 Mile Trestle Day Use; boxsteps,,-1.0,No railings,Box Step,-1.0,,
37,AST_EX_20220811_120509.jpeg,49705,HOLT CREEK LOOP; ladder,,-1.0,No railings,Box Step,-1.0,,
38,AST_EX_20220804_131333.jpeg,49706,HOLT CREEK LOOP; wood step,,-1.0,No railings,Timber/Wood,-1.0,,
39,AST_EX_20220804_131243.jpeg,49706,HOLT CREEK LOOP; wood step,,-1.0,No railings,Timber/Wood,-1.0,,
40,AST_EX_20241218_123519.jpeg,49707,"HOLT CREEK LOOP; wood staircase, need better picture, multiple staircases",,-1.0,1 railing,Timber/Wood,-1.0,,
41,AST_EX_20220804_123709.jpeg,49707,"HOLT CREEK LOOP; wood staircase, need better picture, multiple staircases",,-1.0,1 railing,Timber/Wood,-1.0,,
42,AST_EX_20220804_123843.jpeg,49707,"HOLT CREEK LOOP; wood staircase, need better picture, multiple staircases",,-1.0,1 railing,Timber/Wood,-1.0,,
43,AST_EX_20241210_120122.jpeg,49710,Marie Canyon Day Use; TIMBER STAIRS; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
44,AST_EX_20220211_105001.jpeg,49710,Marie Canyon Day Use; TIMBER STAIRS; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
45,AST_EX_20241218_122024.jpeg,49711,HOLT CREEK LOOP; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
46,AST_EX_20241218_121823.jpeg,49711,HOLT CREEK LOOP; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
47,AST_EX_20241218_122015.jpeg,49711,HOLT CREEK LOOP; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
48,AST_EX_20241218_121723.jpeg,49711,HOLT CREEK LOOP; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
49,AST_EX_20241218_121742.jpeg,49711,HOLT CREEK LOOP; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
50,AST_EX_20241218_121758.jpeg,49711,HOLT CREEK LOOP; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
51,MI_20220707_140301.jpg,49711,HOLT CREEK LOOP; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
52,AST_EX_20210804_144027.jpeg,49865,; concrete,,-1.0,1 railing,Concrete,-1.0,,
53,AST_EX_20220511_125800.jpeg,50514,"Dahl Lake Day Use; 4X4 FRAMES, DIRT FILL ; boxsteps",,-1.0,No railings,Box Step,-1.0,,
54,AST_EX_20240830_165110.jpeg,50655,Sandstone Campground; boxsteps,,-1.0,No railings,Box Step,-1.0,,
55,AST_EX_20210812_142911.jpeg,50655,Sandstone Campground; boxsteps,,-1.0,No railings,Box Step,-1.0,,
56,stairs1.jpg,50723,"Downing Day Use; 24 STEPS, PRECAST CONCRETE, THROUGHOUT DAY USE AREA. 5 STAIRWAYS; , 2 STEPS CHIPPED AND BEGINING TO SHIFT; concrete",,-1.0,No railings,Concrete,-1.0,,
57,MI_20210710_153838.jpg,50723,"Downing Day Use; 24 STEPS, PRECAST CONCRETE, THROUGHOUT DAY USE AREA. 5 STAIRWAYS; , 2 STEPS CHIPPED AND BEGINING TO SHIFT; concrete",,-1.0,No railings,Concrete,-1.0,,
58,AST_EX_20211002_121048.jpeg,50805,Dry Gulch Campground; boxsteps,,-1.0,No railings,Box Step,-1.0,,
59,IMG_9104.JPG,51270,Ec Manning-Sumallo Grove Duse; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
60,AST_EX_20250606_152945.jpeg,51458,Echo Lake Picnic Site; concrete,,-1.0,No railings,Concrete,-1.0,,
61,AST_EX_20250606_152956.jpeg,51458,Echo Lake Picnic Site; concrete,,-1.0,No railings,Concrete,-1.0,,
62,AST_EX_20241106_114709.jpeg,51536,2.5m x 1.07m | Yellow Cedar | 4x6 sidewalls & 3x6 toe kicks; boxsteps,,-1.0,No railings,Box Step,-1.0,,1.07
63,AST_EX_20210826_113218[1].jpeg,51537,Stairs for BWX Asset #51547 | 3.75m x 1.07m | 2x6 Red Cedar stair treads | Laminated 2x8 Red Cedar Stringers | Last step earth filled box; wood staircase,,1.0,2 railings,Timber/Wood,-1.0,Timber,0.0
64,AST_EX_20210826_112202[1].jpeg,51537,Stairs for BWX Asset #51547 | 3.75m x 1.07m | 2x6 Red Cedar stair treads | Laminated 2x8 Red Cedar Stringers | Last step earth filled box; wood staircase,,1.0,2 railings,Timber/Wood,-1.0,Timber,0.0
65,AST_EX_20210826_112118[1].jpeg,51537,Stairs for BWX Asset #51547 | 3.75m x 1.07m | 2x6 Red Cedar stair treads | Laminated 2x8 Red Cedar Stringers | Last step earth filled box; wood staircase,,1.0,2 railings,Timber/Wood,-1.0,Timber,0.0
66,AST_EX_20210826_112045[1].jpeg,51537,Stairs for BWX Asset #51547 | 3.75m x 1.07m | 2x6 Red Cedar stair treads | Laminated 2x8 Red Cedar Stringers | Last step earth filled box; wood staircase,,1.0,2 railings,Timber/Wood,-1.0,Timber,0.0
67,AST_EX_20241106_114549.jpeg,51543,1.5m x 1.07m | Yellow Cedar | 4x6 sidewalls & 3x6 toe kicks; boxsteps,,-1.0,TBD,Box Step,-1.0,,
68,AST_EX_20241106_132304.jpeg,51544,; wood staircase,,-1.0,TBD,Timber/Wood,-1.0,,
69,AST_EX_20210617_120315.jpeg,51545,"Aluminum Staircase, Suspension Bridge; metal",,-1.0,TBD,Metal,-1.0,,
70,IMG_9137.JPG,51695,Ellison Service Area,,-1.0,No railings,Concrete,8.0,,
71,AST_EX_20241128_121641.jpeg,51804,"Englishman R. Falls Day Use; 16 M STAIRS (ROCK) ; ,EXCEPT DRAIN. IN SOME AREAS REQUIRES IMPROVEMENT (DEFAULT TYPE); boxsteps",,-1.0,TBD,Box Step,-1.0,,
72,AST_EX_20241128_121633.jpeg,51804,"Englishman R. Falls Day Use; 16 M STAIRS (ROCK) ; ,EXCEPT DRAIN. IN SOME AREAS REQUIRES IMPROVEMENT (DEFAULT TYPE); boxsteps",,-1.0,TBD,Box Step,-1.0,,
73,AST_EX_20211103_152256.jpeg,51804,"Englishman R. Falls Day Use; 16 M STAIRS (ROCK) ; ,EXCEPT DRAIN. IN SOME AREAS REQUIRES IMPROVEMENT (DEFAULT TYPE); boxsteps",,-1.0,TBD,Box Step,-1.0,,
74,IMG_1604.JPG,52072,Stairs To Falls; Structural Repairs/Improvements Completed 2016; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
75,AST_EX_20220525_134932.jpeg,52146,Fossli Day Use Area; wood step,,-1.0,1 railing,Timber/Wood,-1.0,,
76,AST_EX_20220807_100025.jpeg,52162,"replaced by Student Rangers in 2018; 4""x4"" treated box stairs; boxsteps",,-1.0,TBD,Box Step,-1.0,,
77,AST_EX_20241016_132736.jpeg,52248,STAIRS:(CAMPGROUND/DAY-USE BEACH TRAIL); 45 RISER WOOD STAIRS C/W HANDRAILS.; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
78,AST_EX_20220510_113813.jpeg,52248,STAIRS:(CAMPGROUND/DAY-USE BEACH TRAIL); 45 RISER WOOD STAIRS C/W HANDRAILS.; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
79,AST_EX_20220510_114016.jpeg,52248,STAIRS:(CAMPGROUND/DAY-USE BEACH TRAIL); 45 RISER WOOD STAIRS C/W HANDRAILS.; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
80,AST_EX_20241016_125604.jpeg,52249,French Beach Group Site; Stairs from parking lot; boxsteps,,-1.0,TBD,Box Step,-1.0,,
81,AST_EX_20220510_132107.jpeg,52249,French Beach Group Site; Stairs from parking lot; boxsteps,,-1.0,TBD,Box Step,-1.0,,
82,AST_EX_20250801_105417.jpeg,52547,"Flores Island Hiking Trail; 14000mm in length, approx 900mm wide. Staircase decends 63 degree gradient; wood staircase",,-1.0,No railings,Timber/Wood,-1.0,,
83,IMG_0725.JPG,52547,"Flores Island Hiking Trail; 14000mm in length, approx 900mm wide. Staircase decends 63 degree gradient; wood staircase",,-1.0,No railings,Timber/Wood,-1.0,,
84,IMG_0727.JPG,52547,"Flores Island Hiking Trail; 14000mm in length, approx 900mm wide. Staircase decends 63 degree gradient; wood staircase",,-1.0,No railings,Timber/Wood,-1.0,,
85,IMG_0726.JPG,52547,"Flores Island Hiking Trail; 14000mm in length, approx 900mm wide. Staircase decends 63 degree gradient; wood staircase",,-1.0,No railings,Timber/Wood,-1.0,,
86,IMG_3325.JPG,52621,Texas Creek Day Use; Item description: ON VARIOUS PATHS TO BEACH; Comments: GOOD,,-1.0,No railings,Timber/Wood,0.0,,
87,IMG_3324.JPG,52622,Texas Creek Campground; TRAILS TO BEACH; wood staircase,,-1.0,TBD,Timber/Wood,-1.0,,
88,AST_EX_20241122_101939.jpeg,52951,Goldstream Day Use; SOUTH OF FINLAYSON ARM RD.; concrete,,-1.0,TBD,Concrete,-1.0,,
89,AST_EX_20220628_130004.jpeg,52952,"Goldstream Day Use; STAIRS TO GOLDSTREAM FALLS TOP OF CAMPGROUND; MIX OF TIES,CONCRETE, 3X12 FIR TREADS; wood staircase",,-1.0,1 railing,Timber/Wood,-1.0,,
90,AST_EX_20220628_113048.jpeg,52953,Goldstream Day Use; (AT ENTRANCE OF LOWER NIAGARA TRAIL); 3 STAIRS:#1 CONC. STAIRS C/W HANDRAIL. #2 CONC. STAIRS C/W HANDRAIL. #3 CONC. STAIRS C/W HANDRAIL.; concrete,,-1.0,1 railing,Concrete,-1.0,,
91,AST_EX_20220525_133136.jpeg,52956,Goldstream Campground; STAIRS:(C/S #54); CONCRETE STAIRS TO C/S 54 9 RISERS.; concrete,,-1.0,TBD,Concrete,-1.0,,
92,MI_20220525_132640.jpg,52957,"Goldstream Campground; (C/S #52; CONCRETE STAIRS TO C/S #52, -9 RISERS.; concrete",,-1.0,TBD,Concrete,-1.0,,
93,AST_EX_20220609_114340.jpeg,53110,Gordon Bay Day Use; ON POINT TRAIL; boxsteps,,-1.0,TBD,Box Step,-1.0,,
94,AST_EX_20220609_114149.jpeg,53111,Gordon Bay Day Use; Landscape tie stairs; ON POINT TRAIL; wood step,,-1.0,TBD,Timber/Wood,-1.0,,
95,AST_EX_20220323_110556.jpeg,53211,Mckenzie Bight; CASCADE TRAIL; concrete,,-1.0,1 railing,Concrete,-1.0,,
96,AST_EX_20240730_132053.jpeg,53212,Tod Inlet; TIMBER STAIRS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
97,AST_EX_20220121_144646.jpeg,53212,Tod Inlet; TIMBER STAIRS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
98,AST_EX_20220121_144709.jpeg,53212,Tod Inlet; TIMBER STAIRS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
99,AST_EX_20240730_132151.jpeg,53213,Tod Inlet; TIMBER STAIRS; wood step,,-1.0,1 railing,Timber/Wood,-1.0,,
100,AST_EX_20220121_144818.jpeg,53213,Tod Inlet; TIMBER STAIRS; wood step,,-1.0,1 railing,Timber/Wood,-1.0,,
101,AST_EX_20220527_125526.jpeg,53214,Timberman Trail; TIMBER STAIRS; other,,-1.0,TBD,Timber/Wood,-1.0,,
102,AST_EX_20220527_125704.jpeg,53214,Timberman Trail; TIMBER STAIRS; other,,-1.0,TBD,Timber/Wood,-1.0,,
103,AST_EX_20220323_120017.jpeg,53221,Timberman Trail; W/O RAILING; ladder,,-1.0,TBD,TBD,-1.0,,
104,AST_EX_20220323_120008.jpeg,53221,Timberman Trail; W/O RAILING; ladder,,-1.0,TBD,TBD,-1.0,,
105,AST_EX_20240730_131510.jpeg,53222,Tod Inlet; concrete,,-1.0,TBD,Concrete,-1.0,,
106,AST_EX_20220121_143710.jpeg,53222,Tod Inlet; concrete,,-1.0,TBD,Concrete,-1.0,,
107,MI_20210622_150104.jpg,53428,Green Lk.-Emerald Bay Dayuse; STAIRS FROM BIG TOY AREA TO DAY USE; SPECIALTY ITEMS: STAIRS 49 CEMENT RISERS; REPLACE 11 RISERS WITHIN 2 YEARS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
108,AST_EX_20250107_132821.jpeg,53688,Hemer Type I Trails; Concrete steps ( four steps in total) leading up to pit toilets; concrete,,-1.0,TBD,Concrete,-1.0,,
109,AST_EX_20211018_165939.jpeg,53688,Hemer Type I Trails; Concrete steps ( four steps in total) leading up to pit toilets; concrete,,-1.0,TBD,Concrete,-1.0,,
110,AST_EX_20210805_122929.jpeg,53688,Hemer Type I Trails; Concrete steps ( four steps in total) leading up to pit toilets; concrete,,-1.0,TBD,Concrete,-1.0,,
111,AST_EX_20250917_140440.jpeg,53805,Margaret Falls Trail; MARGARET FALLS TRAIL DAYUSE; BY BRIDGE #1 (BOTH SIDES) PLUS FROM BEACH TO TRAIL; concrete,,-1.0,TBD,Concrete,-1.0,,
112,AST_EX_20210811_143907.jpeg,53805,Margaret Falls Trail; MARGARET FALLS TRAIL DAYUSE; BY BRIDGE #1 (BOTH SIDES) PLUS FROM BEACH TO TRAIL; concrete,,-1.0,TBD,Concrete,-1.0,,
113,AST_EX_20250811_120903.jpeg,53807,Herald Boat Launch; CONCRETE 2 SETS; Comments: FROM BOAT LAUNCH TABLES TO PARKING LOT AND TO PIT TOILET; concrete,,-1.0,1 railing,Concrete,-1.0,,
114,AST_EX_20210806_115724.jpeg,53807,Herald Boat Launch; CONCRETE 2 SETS; Comments: FROM BOAT LAUNCH TABLES TO PARKING LOT AND TO PIT TOILET; concrete,,-1.0,1 railing,Concrete,-1.0,,
115,AST_EX_20250811_140653.jpeg,53808,Margaret Falls Trail; CAMPGROUND MARGARET FALLS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
116,AST_EX_20210812_111719.jpeg,53808,Margaret Falls Trail; CAMPGROUND MARGARET FALLS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
117,AST_EX_20241107_124421.jpeg,53908,Horsefly Lake Day Use; 6 WOODEN STAIRWAYS ON THE VIEWPOIN TRAIL; CONDITION.; concrete,,-1.0,TBD,Concrete,-1.0,,
118,AST_EX_20220528_151346.jpeg,54159,Jimsmith Lake Day Use; 3 sets of stairs from parking lot to upper day-use. 3 wooden hand rails; STAIRS 3 SETS OF ROCK STEPS TO UPPER PICNIC AREA 7 RISERS PER SET; stone,,-1.0,TBD,Rock/Stone,-1.0,,
119,AST_EX_20220528_151355.jpeg,54159,Jimsmith Lake Day Use; 3 sets of stairs from parking lot to upper day-use. 3 wooden hand rails; STAIRS 3 SETS OF ROCK STEPS TO UPPER PICNIC AREA 7 RISERS PER SET; stone,,-1.0,TBD,Rock/Stone,-1.0,,
120,AST_EX_20220528_151418.jpeg,54159,Jimsmith Lake Day Use; 3 sets of stairs from parking lot to upper day-use. 3 wooden hand rails; STAIRS 3 SETS OF ROCK STEPS TO UPPER PICNIC AREA 7 RISERS PER SET; stone,,-1.0,TBD,Rock/Stone,-1.0,,
121,AST_EX_20210507_100724.jpeg,54208,stairs and Rock steps; wood staircase,,-1.0,1 railing,Timber/Wood,-1.0,,
122,AST_EX_20210724_090941.jpeg,54335,Botanical Beach Day Use A(Dup); wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
123,AST_EX_20210724_091852.jpeg,54335,Botanical Beach Day Use A(Dup); wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
124,AST_EX_20210724_091903.jpeg,54335,Botanical Beach Day Use A(Dup); wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
125,20210529_120644.jpg,54335,Botanical Beach Day Use A(Dup); wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
126,AST_EX_20210723_133711.jpeg,54337,Juan De Fuca Marine Trail; boxsteps,,-1.0,TBD,Box Step,-1.0,,
127,AST_EX_20220325_143205.jpeg,54506,Located At Rattlesnake Point Viewpoint; stone,,-1.0,TBD,Rock/Stone,-1.0,,
128,AST_EX_20210828_125100.jpeg,55652,Kaslo Lk. Camp; OUTHOUSE STAIRS (INCLUDES RAILING); wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
129,AST_EX_20210828_125225.jpeg,55652,Kaslo Lk. Camp; OUTHOUSE STAIRS (INCLUDES RAILING); wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
130,AST_EX_20240817_121750.jpeg,55653,Kokanee Lake Trail; KOKANEE LAKE OUTHOUSE STAIRS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
131,AST_EX_20220813_083509.jpeg,55653,Kokanee Lake Trail; KOKANEE LAKE OUTHOUSE STAIRS; boxsteps,,-1.0,TBD,Box Step,-1.0,,
132,AST_EX_20220724_152052.jpeg,55654,Silver Spray; OUTHOUSE STAIRS; ladder,,-1.0,1 railing,TBD,-1.0,,
133,AST_EX_20211014_124750.jpeg,55707,Jack Fleet Trail; WITH RAILINGS; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
134,AST_EX_20211014_124832.jpeg,55707,Jack Fleet Trail; WITH RAILINGS; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
135,AST_EX_20211014_123431.jpeg,55708,Koksilah River Day Use Area; WOOD CRIBBING RISERS; boxsteps,,-1.0,No railings,Box Step,-1.0,,
136,AST_EX_20241029_113430.jpeg,55911,"Lac La Hache Campground; STAIRS 44 40.6CM X 76.2CM CONCRETE; STAIRS NEED REPAIR, REPLACE 18 RISERS.; concrete",,-1.0,No railings,Concrete,-1.0,,
137,MI_20210618_122220.jpg,55911,"Lac La Hache Campground; STAIRS 44 40.6CM X 76.2CM CONCRETE; STAIRS NEED REPAIR, REPLACE 18 RISERS.; concrete",,-1.0,No railings,Concrete,-1.0,,
138,AST_EX_20241029_115528.jpeg,55912,Lac La Hache Day Use; STAIRS: CONCRETE (3M WIDE X 16 TREADS) 1 PIECE POUR C/W HANDRAIL ; CONDITION. SOME MINOR CRACKS; concrete,,-1.0,1 railing,Concrete,-1.0,,
139,MI_20210618_151214.jpg,55912,Lac La Hache Day Use; STAIRS: CONCRETE (3M WIDE X 16 TREADS) 1 PIECE POUR C/W HANDRAIL ; CONDITION. SOME MINOR CRACKS; concrete,,-1.0,1 railing,Concrete,-1.0,,
140,AST_EX_20250121_120715.jpeg,56476,L.Qual.Falls-Day Use Area; ROCK TYPE STAIRS; VARIED; 8 LOCATIONS; stone,,-1.0,No railings,Rock/Stone,-1.0,,
141,AST_EX_20210819_114746.jpeg,56476,L.Qual.Falls-Day Use Area; ROCK TYPE STAIRS; VARIED; 8 LOCATIONS; stone,,-1.0,No railings,Rock/Stone,-1.0,,
142,AST_EX_20250121_120822.jpeg,56477,L.Qual.Falls-Backcountry; 85 M ROCK WORK STAIRWAY ; (DEFAULT TYPE); stone,,-1.0,No railings,Rock/Stone,-1.0,,
143,AST_EX_20210819_114256.jpeg,56477,L.Qual.Falls-Backcountry; 85 M ROCK WORK STAIRWAY ; (DEFAULT TYPE); stone,,-1.0,No railings,Rock/Stone,-1.0,,
144,AST_EX_20250121_121706.jpeg,56479,L.Qual.Falls-Day Use Area; 8 new wood risers installed in 2016 on steps from dayuse parking lot to lower bridge; boxsteps,,-1.0,No railings,Box Step,-1.0,,
145,AST_EX_20250121_121713.jpeg,56479,L.Qual.Falls-Day Use Area; 8 new wood risers installed in 2016 on steps from dayuse parking lot to lower bridge; boxsteps,,-1.0,No railings,Box Step,-1.0,,
146,AST_EX_20250121_121653.jpeg,56479,L.Qual.Falls-Day Use Area; 8 new wood risers installed in 2016 on steps from dayuse parking lot to lower bridge; boxsteps,,-1.0,No railings,Box Step,-1.0,,
147,AST_EX_20250121_121720.jpeg,56479,L.Qual.Falls-Day Use Area; 8 new wood risers installed in 2016 on steps from dayuse parking lot to lower bridge; boxsteps,,-1.0,No railings,Box Step,-1.0,,
148,AST_EX_20210819_115352.jpeg,56479,L.Qual.Falls-Day Use Area; 8 new wood risers installed in 2016 on steps from dayuse parking lot to lower bridge; boxsteps,,-1.0,No railings,Box Step,-1.0,,
149,AST_EX_20241107_121636.jpeg,56563,Loveland Bay Campground; Y; ALL SIZES; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
150,AST_EX_20241107_121654.jpeg,56563,Loveland Bay Campground; Y; ALL SIZES; boxsteps,,-1.0,1 railing,Box Step,-1.0,,
151,s14stairs2.jpg,56878,Marble River Trail; BAFFLE BOX STEPS; boxsteps,,-1.0,No railings,Box Step,-1.0,,
152,IMG_0698.JPG,56878,Marble River Trail; BAFFLE BOX STEPS; boxsteps,,-1.0,No railings,Box Step,-1.0,,
153,MI_20210623_120228.jpg,57224,Moberly Lake Day Use; Comments: INSTALLED UNDER CONTRACT 1997; boxsteps,,-1.0,2 railings,Box Step,-1.0,,
154,AST_EX_20250528_124253.jpeg,57406,"Monck Campground; 40 STEPS, PRECAST CONCRETE, THROUGHOUT CAMPGROUND ; stone",,-1.0,No railings,Rock/Stone,-1.0,,
155,AST_EX_20210820_113344.jpeg,57406,"Monck Campground; 40 STEPS, PRECAST CONCRETE, THROUGHOUT CAMPGROUND ; stone",,-1.0,No railings,Rock/Stone,-1.0,,
156,AST_EX_20240831_101820.jpeg,57611,Montague Harbour Day Use; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
157,AST_EX_20220621_121832.jpeg,57611,Montague Harbour Day Use; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
158,AST_EX_20220621_121954.jpeg,57611,Montague Harbour Day Use; wood staircase,,-1.0,2 railings,Timber/Wood,-1.0,,
